Itration,Running Env Steps,Running Forward KL,Running Update Time,Running Reverse KL,Reward Loss,Real Sto Return,Real Det Return
0,0,49.6613,0,14.5583,99.29078674316406,329.85,335.93
1,5000,49.7046,1,15.9735,153.04034423828125,467.09,366.6
2,10000,49.1942,2,13.8949,165.70103454589844,483.52,441.86
3,15000,49.0614,3,21.5976,96.70284271240234,407.72,437.09
4,20000,49.213,4,14.8095,127.223388671875,360.13,410.5
5,25000,48.5986,5,13.1716,85.1476821899414,466.25,514.72
6,30000,49.5112,6,13.7015,163.81817626953125,423.58,490.48
7,35000,49.5509,7,14.1492,168.31695556640625,465.43,550.99
8,40000,48.8651,8,14.1048,166.25222778320312,490.23,469.2
9,45000,48.6998,9,14.8685,120.98881530761719,470.26,453.76
10,50000,48.8229,10,20.5748,68.1703109741211,542.03,631.0
11,55000,48.7142,11,18.3078,62.662750244140625,587.57,626.96
12,60000,48.6536,12,19.335,-7.060706615447998,542.95,637.69
13,65000,48.2562,13,20.2995,-25.712251663208008,581.68,682.69
14,70000,47.7775,14,16.6506,6.549537181854248,592.51,653.05
15,75000,47.616,15,16.0563,50.55788040161133,666.07,689.89
16,80000,48.3592,16,18.9769,-28.622955322265625,665.66,757.48
17,85000,47.9337,17,15.72,-15.215128898620605,609.78,612.71
18,90000,46.3109,18,13.1545,36.38729476928711,664.24,689.43
19,95000,47.4141,19,14.8543,61.06495666503906,772.73,640.47
20,100000,46.7058,20,14.1195,0.710517168045044,778.88,784.25
21,105000,47.0668,21,18.2443,-68.25211334228516,845.47,891.9
22,110000,45.9535,22,16.6473,-99.79715728759766,1006.53,1614.06
23,115000,46.0027,23,13.4047,-57.82595443725586,1131.38,1621.49
24,120000,45.8039,24,16.0786,-85.97421264648438,2207.82,2378.0
25,125000,45.5913,25,14.9813,-106.50703430175781,1589.06,2781.88
26,130000,46.0492,26,15.0453,-54.437129974365234,1514.06,2485.05
27,135000,45.6036,27,13.4523,-71.12956237792969,1536.17,2494.53
28,140000,46.0398,28,14.8444,-114.15922546386719,1697.42,3000.85
29,145000,45.9464,29,16.0786,-101.25199127197266,1824.96,2986.88
30,150000,45.8572,30,15.2875,-94.66382598876953,2022.32,2856.77
31,155000,44.8238,31,15.0775,-43.352962493896484,1751.64,3263.48
32,160000,45.1716,32,16.1158,-67.46092224121094,2131.61,3330.03
33,165000,45.6785,33,13.6609,-94.212890625,1414.49,3253.96
34,170000,45.6153,34,14.5486,-76.67774200439453,1733.54,2263.18
35,175000,44.9305,35,14.4533,-56.90464401245117,1789.2,2501.47
36,180000,44.7002,36,14.9609,-63.16089630126953,2409.88,3478.81
37,185000,44.8972,37,14.5041,-51.09849548339844,2486.48,2934.58
38,190000,44.9712,38,16.318,-91.7333984375,2608.24,2915.44
39,195000,45.6869,39,21.4542,-134.44381713867188,3295.66,3154.66
