Real Det Return,Itration,Running Forward KL,Real Sto Return,Running Reverse KL
215.11,0,38.6983,202.11,18.456
273.97,1,37.3375,284.45,39.8587
343.17,2,36.5879,346.34,31.9906
389.21,3,33.3979,400.52,29.8677
910.98,4,30.6582,659.87,13.7046
447.26,5,34.8925,536.01,22.7992
1340.9,6,31.7015,1212.9,44.3577
399.94,7,33.9515,432.68,23.3215
726.86,8,31.7956,1071.05,97.0411
725.19,9,31.4103,686.77,47.6915
659.19,10,32.0133,670.13,16.1806
2686.01,11,28.8863,2603.21,16.7143
3070.25,12,27.3445,1628.83,16.982
990.44,13,30.8668,1040.43,23.2922
1000.58,14,42.9061,1000.53,35.1481
1050.01,15,40.5202,1054.16,21.6817
854.54,16,31.6876,1557.0,22.0291
2542.5,17,31.8438,2540.19,15.0837
2885.37,18,28.3554,2664.59,13.0291
2666.48,19,29.6743,2379.54,13.4127
2826.5,20,29.1287,2856.15,13.5652
2773.97,21,29.8568,2799.72,14.2135
3106.45,22,28.6357,2742.16,15.1088
3002.91,23,27.5812,2922.7,17.4776
3047.72,24,29.1295,2789.81,15.879
3131.5,25,29.8736,989.03,23.6773
3085.88,26,27.4917,2804.91,13.532
1303.81,27,29.2416,1251.9,16.6961
3105.26,28,27.7233,2087.09,12.4647
3165.23,29,27.3212,3052.27,13.7099
1912.58,30,27.986,1570.67,14.6961
3120.87,31,26.1686,3106.43,11.5262
1066.39,32,27.6534,1520.47,35.0586
3183.81,33,26.5463,3206.9,13.6646
3245.07,34,28.2885,1260.36,14.6499
3206.71,35,26.0846,2830.75,12.8137
3252.44,36,28.118,2506.22,21.2074
3217.19,37,25.0945,3194.76,10.9888
263.3,38,33.1656,257.8,24.6454
324.52,39,36.096,359.65,34.6626
1707.79,40,28.4809,1295.47,16.3164
1029.63,41,30.4452,844.7,69.6889
972.22,42,32.5251,1010.58,17.7233
965.58,43,40.0917,968.97,20.5191
952.64,44,33.3215,797.96,16.2065
1004.1,45,37.5643,1059.93,23.5911
2433.96,46,31.7292,2066.89,17.8869
2572.32,47,31.4721,2503.25,15.7949
380.68,48,30.8385,679.38,40.7073
1744.46,49,29.2103,1285.99,31.0398
555.4,50,29.2677,918.89,47.1177
309.75,51,38.2263,308.7,57.2476
273.12,52,41.0817,268.59,58.6691
98.22,53,35.6928,99.88,16.5298
252.07,54,37.5503,157.45,21.6632
1060.89,55,40.7155,797.33,20.8869
