Itration,Real Sto Return,Running Forward KL,Reward Loss,Running Env Steps,Running Update Time,Real Det Return,Running Reverse KL
0,-58.87,74.0089,45.13238525390625,0,0,263.3,23.8736
1,-54.83,75.3021,38.67176818847656,5000,1,333.72,24.7626
2,-38.07,75.0373,23.28712272644043,10000,2,380.07,26.8311
3,-22.3,73.3376,16.12702178955078,15000,3,462.17,26.8683
4,17.19,73.3949,3.197735071182251,20000,4,557.41,28.457
5,14.95,71.8915,-0.8576046824455261,25000,5,439.01,28.061
6,45.79,72.3427,-12.070419311523438,30000,6,569.19,28.875
7,87.2,71.6517,-25.603534698486328,35000,7,643.92,30.1753
8,108.45,70.9038,-35.068565368652344,40000,8,641.05,29.3832
9,141.11,72.4462,-48.442115783691406,45000,9,678.72,30.446
10,122.54,72.8772,-58.4027214050293,50000,10,781.31,30.3206
11,146.92,73.0744,-73.95410919189453,55000,11,738.56,31.374
12,109.43,72.5205,-84.99737548828125,60000,12,544.38,30.3859
13,130.36,71.6225,-93.43512725830078,65000,13,766.8,32.1382
14,142.36,68.5501,-108.60506439208984,70000,14,579.13,30.3971
15,152.01,70.3463,-119.3611831665039,75000,15,641.54,29.7828
16,126.92,71.432,-133.81631469726562,80000,16,619.82,30.6145
17,151.09,72.3855,-147.51553344726562,85000,17,635.65,30.4134
18,237.18,69.5187,-153.2368927001953,90000,18,792.32,30.6198
19,157.71,68.9767,-171.82691955566406,95000,19,815.02,30.2871
20,139.66,68.7356,-180.9847412109375,100000,20,930.22,28.9466
21,178.23,66.8729,-190.3256072998047,105000,21,828.38,28.8042
22,156.17,67.8112,-199.44000244140625,110000,22,873.97,30.0237
23,178.49,66.0321,-212.43588256835938,115000,23,723.05,28.5814
24,139.94,68.0754,-234.58203125,120000,24,802.63,28.8824
25,228.54,70.8913,-242.9188232421875,125000,25,906.49,29.8432
26,180.31,72.6756,-262.2864685058594,130000,26,786.76,31.4527
27,189.81,68.8474,-267.0538330078125,135000,27,726.47,29.8345
28,137.97,67.5523,-272.92486572265625,140000,28,733.8,29.5944
29,183.45,70.5551,-295.751708984375,145000,29,715.36,30.7506
30,200.32,67.7673,-300.26763916015625,150000,30,726.98,30.0113
31,138.26,70.6615,-325.5513916015625,155000,31,698.26,30.6482
32,156.87,69.5068,-335.8032531738281,160000,32,698.25,29.8964
33,177.66,70.1327,-349.1583557128906,165000,33,842.05,30.7305
34,244.67,68.893,-362.0359191894531,170000,34,834.05,30.0343
35,185.35,69.7945,-373.20965576171875,175000,35,864.15,30.2902
36,216.57,68.2431,-387.5863342285156,180000,36,795.98,29.4061
37,191.46,67.102,-403.7958068847656,185000,37,746.07,30.0365
38,318.04,66.7714,-407.77691650390625,190000,38,848.97,29.0624
39,253.33,69.2002,-421.5238037109375,195000,39,786.53,30.1938
40,178.02,69.5949,-442.1442565917969,200000,40,664.62,30.1003
41,258.35,69.5986,-451.0487365722656,205000,41,799.26,30.8397
42,186.46,69.3407,-478.2901611328125,210000,42,915.71,30.6325
43,163.17,70.0666,-486.7712707519531,215000,43,914.58,30.5213
44,221.22,60.7744,-451.2109680175781,220000,44,962.98,27.4056
45,250.04,68.1765,-515.7783813476562,225000,45,836.37,29.5806
46,274.19,69.2094,-522.9505004882812,230000,46,752.48,29.6662
47,179.99,69.2223,-542.6441040039062,235000,47,653.91,30.0425
48,255.48,65.7112,-535.5770263671875,240000,48,806.09,28.8063
49,242.91,63.9646,-544.7551879882812,245000,49,845.17,27.6911
50,224.85,67.9767,-575.627685546875,250000,50,726.15,28.7698
51,269.65,66.083,-572.9315795898438,255000,51,905.83,29.6996
52,174.82,72.4089,-634.58837890625,260000,52,805.38,31.0727
53,266.34,66.3523,-604.5013427734375,265000,53,980.66,29.9704
54,208.51,69.8458,-644.3161010742188,270000,54,868.89,30.9408
55,214.48,70.4605,-666.4708862304688,275000,55,910.89,30.5069
56,249.2,70.0444,-691.816162109375,280000,56,822.86,30.4608
57,255.5,70.2814,-702.8719482421875,285000,57,873.12,30.1735
58,273.82,67.721,-695.65087890625,290000,58,849.67,29.1609
59,347.39,61.7478,-667.4186401367188,295000,59,1028.31,27.6165
60,265.03,65.9657,-734.08154296875,300000,60,835.34,29.1006
61,221.81,66.1624,-733.751953125,305000,61,907.76,28.963
62,349.89,67.1552,-769.51220703125,310000,62,941.11,30.0276
63,277.45,69.1026,-797.0860595703125,315000,63,963.69,30.2786
64,373.94,67.133,-798.3468017578125,320000,64,864.0,29.1454
