Real Sto Return,Itration,Real Det Return,Running Update Time,Running Env Steps,Reward Loss,Running Reverse KL,Running Forward KL
-185.16,0,-5.34,0,0,44.88198471069336,11.9914,158.6422
-120.46,1,-9.6,1,5000,16.654342651367188,11.8769,158.3187
12.5,2,-12.23,2,10000,-9.655684471130371,12.0261,158.4025
159.1,3,834.48,3,15000,-60.61221694946289,12.2714,158.3466
307.49,4,660.72,4,20000,-112.42639923095703,13.1977,158.3512
420.68,5,865.85,5,25000,-137.50494384765625,13.5632,158.3595
571.31,6,1005.78,6,30000,-154.3717041015625,14.064,157.9836
728.47,7,1158.02,7,35000,-166.28640747070312,13.9488,157.9624
683.98,8,1125.37,8,40000,-196.24620056152344,14.3953,157.8996
848.7,9,1241.98,9,45000,-248.01922607421875,15.064,157.984
1041.54,10,1476.22,10,50000,-292.5298156738281,16.0529,157.8693
1078.29,11,1464.7,11,55000,-309.2492370605469,15.8943,157.9548
1151.46,12,1598.21,12,60000,-338.98089599609375,16.3569,157.9057
1198.64,13,1572.04,13,65000,-366.5248107910156,16.3622,157.7735
1268.89,14,1670.91,14,70000,-411.345458984375,16.7486,157.8539
1279.27,15,1702.35,15,75000,-435.3468322753906,16.6859,157.8801
1317.4,16,1763.19,16,80000,-481.07073974609375,16.8513,157.8466
1300.02,17,1688.21,17,85000,-512.9652099609375,16.5851,157.9938
1349.42,18,1760.35,18,90000,-540.7982788085938,16.7202,157.9829
1355.58,19,1715.24,19,95000,-559.8612060546875,16.3712,157.9683
1380.48,20,1791.52,20,100000,-582.2659912109375,16.5121,158.0255
1435.21,21,1859.67,21,105000,-640.0628051757812,16.6779,157.9542
1445.81,22,1828.86,22,110000,-637.085693359375,16.3236,157.7769
1470.25,23,1886.51,23,115000,-672.5881958007812,16.4716,157.7019
1516.27,24,1907.04,24,120000,-715.1978149414062,16.8297,157.7891
1531.43,25,1910.9,25,125000,-722.3458251953125,16.6601,157.6386
1545.74,26,1914.45,26,130000,-768.13818359375,16.9515,157.7517
1557.69,27,1920.9,27,135000,-804.2066040039062,16.619,157.7621
1559.02,28,1940.82,28,140000,-838.080078125,17.0625,157.8438
1572.48,29,1933.33,29,145000,-853.163818359375,16.7173,157.4753
1595.88,30,1950.05,30,150000,-871.1754150390625,16.7346,157.469
1599.66,31,1957.69,31,155000,-892.2252807617188,16.5018,157.6307
1583.31,32,1866.72,32,160000,-913.4053955078125,16.3394,157.3664
1591.01,33,1891.7,33,165000,-951.91357421875,16.6848,157.7304
1632.4,34,1926.72,34,170000,-989.9086303710938,16.4517,157.3622
1639.48,35,1938.6,35,175000,-1004.3451538085938,16.4454,157.5372
1634.62,36,1966.76,36,180000,-1059.59326171875,16.7255,157.448
1660.61,37,1987.86,37,185000,-1070.0498046875,16.5877,157.4097
1617.71,38,1986.42,38,190000,-1095.4957275390625,16.1856,157.3961
