Running Reverse KL,Running Env Steps,Itration,Running Forward KL,Real Det Return,Real Sto Return,Reward Loss,Running Update Time
15.5682,0,0,49.9786,358.93,387.62,-26.82887077331543,0
28.2869,5000,1,50.6278,402.0,348.22,-114.45207214355469,1
29.5748,10000,2,50.0935,392.45,373.35,-78.29109954833984,2
12.6491,15000,3,49.1714,349.48,333.35,210.62020874023438,3
12.671,20000,4,49.7344,350.78,305.9,195.2901153564453,4
14.4261,25000,5,48.9856,322.48,332.44,-46.73115921020508,5
15.3852,30000,6,49.4378,419.62,371.26,98.48246002197266,6
16.319,35000,7,49.2024,449.69,386.61,108.11799621582031,7
16.5721,40000,8,49.2772,446.85,486.81,170.4664764404297,8
16.4822,45000,9,48.3927,614.43,585.72,18.345714569091797,9
14.969,50000,10,47.7332,863.78,722.53,17.44610023498535,10
16.132,55000,11,47.8674,476.06,511.67,12.332618713378906,11
16.9292,60000,12,48.5419,644.77,575.03,-10.768622398376465,12
38.4777,65000,13,48.6514,579.77,536.58,-58.975860595703125,13
29.4911,70000,14,49.1535,590.8,519.65,-40.30373764038086,14
16.9413,75000,15,48.4699,639.29,543.04,-66.17933654785156,15
15.4468,80000,16,47.6579,628.46,604.87,-75.85079956054688,16
23.4685,85000,17,47.6727,705.52,630.14,-129.8916015625,17
18.7175,90000,18,48.3258,730.83,694.84,-119.38301849365234,18
24.8238,95000,19,48.1187,869.61,736.3,-170.0257110595703,19
27.0708,100000,20,47.0611,1070.32,859.87,-183.17994689941406,20
25.6051,105000,21,48.0145,746.18,694.37,-215.32464599609375,21
22.0471,110000,22,47.1114,1412.55,925.93,-201.78143310546875,22
19.0922,115000,23,46.8879,780.3,1455.28,-197.40310668945312,23
30.5164,120000,24,47.5405,1353.93,1069.96,-249.7733154296875,24
22.0369,125000,25,47.4932,727.07,865.2,-267.574951171875,25
27.0373,130000,26,47.4006,1130.44,896.43,-286.6846923828125,26
21.2797,135000,27,47.025,1086.04,1452.03,-211.25709533691406,27
16.5164,140000,28,46.4346,2152.78,1617.69,-146.39329528808594,28
21.4194,145000,29,46.2722,2356.31,1397.78,-239.8913116455078,29
30.7553,150000,30,47.0462,1114.25,1032.7,-293.4999694824219,30
36.2459,155000,31,47.85,715.73,715.86,-318.9090270996094,31
26.298,160000,32,46.8515,1214.38,1013.25,-319.3330383300781,32
29.1994,165000,33,47.3048,1146.35,1042.81,-307.6473083496094,33
43.1049,170000,34,47.76,1389.57,1171.77,-364.3591613769531,34
49.9691,175000,35,46.7936,1266.98,1064.27,-386.541259765625,35
38.1196,180000,36,46.9429,1379.16,1190.32,-380.5650329589844,36
38.8727,185000,37,47.0009,1294.82,1112.9,-354.98016357421875,37
27.3767,190000,38,46.5414,1404.0,1066.35,-295.33349609375,38
29.2989,195000,39,47.02,1391.93,1102.57,-371.4833068847656,39
25.8428,200000,40,46.1945,2139.62,1551.5,-361.94049072265625,40
21.1844,205000,41,45.6578,2553.99,2060.94,-257.4663391113281,41
25.2696,210000,42,45.8108,1916.77,1825.84,-318.0059814453125,42
23.8311,215000,43,44.9723,2211.25,1820.28,-334.5395202636719,43
24.5399,220000,44,45.5579,2043.61,1987.74,-327.2994689941406,44
23.6044,225000,45,45.3456,2483.88,1846.3,-337.3279113769531,45
24.2078,230000,46,45.2615,2401.13,1898.4,-379.5328674316406,46
28.0639,235000,47,46.4092,1628.56,1590.09,-439.5874328613281,47
28.9564,240000,48,45.4208,2453.46,1816.44,-356.14251708984375,48
20.0416,245000,49,45.0923,2748.69,2146.05,-325.08978271484375,49
28.3851,250000,50,45.4541,2426.87,2006.07,-480.71875,50
21.81,255000,51,44.9736,2408.51,1985.06,-382.7292175292969,51
24.7186,260000,52,45.7282,2365.86,2319.76,-448.48828125,52
17.6977,265000,53,44.7019,3012.25,2628.62,-375.59295654296875,53
19.5455,270000,54,44.3453,2967.76,1917.57,-403.33062744140625,54
22.9764,275000,55,44.9163,2266.75,1789.04,-458.4344177246094,55
19.0331,280000,56,44.0684,2380.98,2291.9,-376.115966796875,56
19.3748,285000,57,44.4809,2620.3,2931.18,-396.6004943847656,57
