Itration,Running Env Steps,Real Sto Return,Real Det Return,Running Forward KL,Running Reverse KL,Running Update Time,Reward Loss
0,0,320.24,346.58,438.2281,266.1102,0,-840.0831298828125
1,5000,337.44,389.56,452.2776,330.7247,1,-1713.6578369140625
2,10000,404.66,446.06,441.3376,293.6558,2,-1455.0166015625
3,15000,440.2,435.09,430.8212,301.5397,3,-2284.840087890625
4,20000,419.45,534.37,428.6254,278.4105,4,-2157.175537109375
5,25000,405.09,322.31,436.2899,283.9778,5,-2697.237548828125
6,30000,418.4,401.94,408.1729,283.3987,6,-3950.386962890625
7,35000,414.94,410.19,422.8612,292.6707,7,-4422.7734375
8,40000,470.31,541.3,407.8461,247.1045,8,-3937.01171875
9,45000,520.22,589.5,408.4453,252.7094,9,-4481.45751953125
10,50000,530.04,585.07,399.5741,248.6209,10,-4295.8564453125
11,55000,451.77,434.11,403.3896,292.9928,11,-5675.40576171875
12,60000,515.41,480.42,391.3663,306.8209,12,-6114.755859375
13,65000,501.11,478.94,400.8092,278.6412,13,-5462.78515625
14,70000,506.37,496.36,384.4346,289.2245,14,-6337.1962890625
15,75000,534.63,547.88,381.1523,291.5119,15,-6582.7275390625
