Running Forward KL,Running Env Steps,Reward Loss,Running Reverse KL,Running Update Time,Real Det Return,Itration,Real Sto Return
39.5044,0,-151.50241088867188,23.226,0,308.29,0,287.06
38.9012,5000,-143.18783569335938,39.3986,1,318.1,1,335.77
38.8174,10000,-133.56356811523438,27.6952,2,240.36,2,256.81
38.3106,15000,-128.1214141845703,29.2551,3,253.91,3,259.14
37.3993,20000,-129.0500030517578,33.5989,4,396.18,4,369.03
35.7555,25000,-126.40138244628906,36.4115,5,599.61,5,651.34
34.9422,30000,-130.0247802734375,30.8069,6,654.85,6,565.06
35.0995,35000,-138.3880615234375,42.1703,7,553.24,7,525.28
34.3872,40000,-16.502098083496094,18.2343,8,508.17,8,538.71
33.9545,45000,-34.2061653137207,18.8825,9,603.72,9,658.58
32.8897,50000,-48.828853607177734,18.631,10,688.93,10,747.21
34.3545,55000,-53.23863220214844,21.2601,11,673.76,11,725.47
33.4193,60000,-93.41238403320312,20.3411,12,1008.5,12,947.16
33.3302,65000,-95.48101043701172,17.6332,13,949.09,13,946.52
32.6971,70000,-115.35440826416016,19.1139,14,823.89,14,838.7
32.0603,75000,-107.15118408203125,17.9397,15,910.76,15,911.7
33.5934,80000,-105.11511993408203,17.2957,16,739.85,16,802.47
31.9251,85000,-140.00946044921875,16.748,17,1000.53,17,905.54
33.3167,90000,-116.94705963134766,16.6675,18,1139.37,18,899.66
31.7483,95000,-110.40553283691406,16.1126,19,2158.7,19,1230.15
30.2208,100000,-98.4561767578125,14.6575,20,3199.23,20,2564.32
28.8051,105000,-36.71099090576172,13.7652,21,3084.65,21,2954.09
29.9776,110000,-122.51918029785156,14.7268,22,3124.13,22,1752.9
31.0388,115000,-201.98794555664062,20.8424,23,2818.56,23,1618.38
29.1199,120000,-70.42537689208984,14.7495,24,3047.17,24,2909.7
30.4797,125000,-148.21340942382812,14.525,25,3140.31,25,1557.73
29.1659,130000,-67.14661407470703,13.6387,26,3160.29,26,2869.33
29.38,135000,-110.66541290283203,17.2217,27,3162.65,27,2719.6
31.6052,140000,-111.93991088867188,15.6594,28,2655.4,28,1514.6
29.1171,145000,-64.07534790039062,14.7099,29,2987.49,29,2769.51
29.3015,150000,-90.682861328125,16.3272,30,3196.83,30,2708.25
29.9019,155000,-115.30597686767578,17.3639,31,3171.4,31,2841.78
28.5526,160000,-98.48536682128906,24.1007,32,3151.67,32,2993.45
29.1986,165000,-126.2832260131836,16.5622,33,3181.7,33,2752.41
28.6574,170000,-176.252685546875,16.7931,34,1985.8,34,1627.79
27.3085,175000,-134.72671508789062,24.5118,35,3226.71,35,2569.89
