Itration,Real Det Return,Real Sto Return,Running Forward KL,Running Reverse KL
0,-40.47,-178.37,158.6286,12.2374
1,-77.27,-91.26,158.7194,12.7004
2,29.92,-0.32,158.3834,12.1755
3,905.38,177.16,158.1765,12.4893
4,727.68,358.33,158.0299,13.389
5,855.0,502.35,158.1143,13.7905
6,956.36,590.62,157.9842,13.818
7,1033.53,634.67,158.0445,13.3531
8,1106.38,726.23,157.8059,13.7391
9,1218.39,851.65,158.0611,14.3388
10,1344.38,981.14,157.8739,14.6175
11,1527.56,1059.96,157.9168,14.7731
12,1567.66,1142.66,157.5956,15.1718
13,1631.55,1250.07,157.388,14.3942
14,2045.7,1472.16,156.6578,13.2791
15,2803.37,2073.95,156.6299,13.9533
16,3159.67,2567.61,156.9105,15.9797
17,3465.47,2881.23,156.2707,16.0931
18,3676.42,3117.52,156.0894,16.391
19,3889.16,3400.32,156.8394,16.8525
20,3998.04,3498.96,156.1335,15.7557
21,4339.63,3743.1,155.628,15.9783
22,4507.73,4001.51,156.6605,16.4711
23,4625.66,4121.32,155.8893,15.9143
24,4863.58,4267.99,155.444,16.0018
25,5045.25,4472.76,155.6108,16.464
26,5433.36,4852.87,155.2519,15.9019
27,5321.46,4952.48,155.5084,16.7692
28,5518.04,4964.84,155.5034,16.2723
29,5725.46,5249.21,154.9318,15.9588
30,6010.58,5418.52,154.7181,16.6136
31,6023.74,5403.62,154.2643,15.9444
32,5938.19,5406.16,154.1734,15.3047
33,6230.38,5937.44,153.8815,16.378
34,6691.87,6228.46,153.8202,16.6833
35,6965.06,6224.13,154.0039,16.806
36,6858.79,6458.06,152.854,16.7733
37,6921.07,6318.35,154.003,18.4683
38,7011.85,6296.2,152.7976,15.82
39,6707.05,6526.17,152.3954,16.8531
40,7084.59,6747.33,152.6553,16.9199
