Real Det Return,Running Update Time,Running Forward KL,Running Env Steps,Running Reverse KL,Itration,Reward Loss,Real Sto Return
194.94,0,36.2792,0,14.6749,0,217.28604125976562,247.24
301.26,1,36.0736,5000,23.6894,1,200.89564514160156,303.46
337.97,2,34.5727,10000,17.7658,2,129.82762145996094,332.28
407.89,3,32.4439,15000,15.1396,3,69.08210754394531,400.77
357.37,4,36.4927,20000,30.8267,4,181.3334197998047,364.51
436.73,5,32.1807,25000,25.3381,5,100.34950256347656,443.38
459.27,6,33.2415,30000,15.0489,6,33.7271614074707,439.92
605.57,7,32.7144,35000,21.3335,7,26.84111976623535,589.69
625.9,8,32.8493,40000,52.0319,8,104.27873992919922,634.25
598.11,9,33.4345,45000,44.2332,9,149.49940490722656,571.75
939.98,10,31.2314,50000,34.1079,10,115.17886352539062,905.48
897.37,11,30.8801,55000,18.918,11,47.71720886230469,728.44
888.17,12,31.2513,60000,32.8162,12,115.69095611572266,958.68
369.59,13,31.8301,65000,50.1219,13,116.9585189819336,383.81
796.75,14,32.4928,70000,33.6818,14,101.7010726928711,698.76
891.95,15,33.018,75000,50.6781,15,125.78656005859375,833.16
1070.75,16,32.0294,80000,42.6658,16,36.59682846069336,1249.83
988.09,17,31.889,85000,53.969,17,80.03929138183594,1377.01
1483.23,18,31.566,90000,51.79,18,60.83734893798828,1187.07
3186.75,19,30.7015,95000,51.7009,19,27.156471252441406,2008.59
3055.32,20,30.6279,100000,23.8222,20,1.6306116580963135,2443.29
3183.37,21,31.1616,105000,30.2854,21,-3.196040153503418,2451.9
908.85,22,32.5571,110000,69.8462,22,58.92898941040039,894.14
3209.96,23,30.0373,115000,24.9472,23,-21.949481964111328,2936.12
1945.87,24,30.8678,120000,38.1102,24,20.963136672973633,1230.28
1528.31,25,30.4493,125000,29.7298,25,-10.26301097869873,1997.06
3274.48,26,30.9996,130000,26.1984,26,-23.026079177856445,2506.77
1787.21,27,30.8331,135000,35.9671,27,-10.28219223022461,1587.55
2375.39,28,30.5928,140000,30.7528,28,-40.504364013671875,1461.97
1440.33,29,30.718,145000,22.5728,29,-28.2817440032959,1979.95
2001.12,30,31.5196,150000,30.147,30,-10.468894958496094,1444.53
2875.39,31,31.1472,155000,28.963,31,-53.063385009765625,2024.54
3265.16,32,31.4992,160000,18.7132,32,-37.58607864379883,1935.26
3250.12,33,30.9791,165000,26.8621,33,-50.618892669677734,1782.46
1090.76,34,31.1868,170000,25.7431,34,-46.60221481323242,1604.79
3277.53,35,30.64,175000,18.2878,35,-49.44314193725586,2675.03
