Running Update Time,Real Det Return,Running Env Steps,Itration,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return
0,334.43,0,0,49.5667,79.6314468383789,12.892,423.73
1,382.4,5000,1,49.3523,78.15666198730469,19.0554,384.48
2,269.09,10000,2,49.905,37.71854019165039,24.5391,167.83
3,297.0,15000,3,49.8852,56.184940338134766,29.2502,371.45
4,577.65,20000,4,48.4003,39.875858306884766,14.4775,437.71
5,521.58,25000,5,49.5129,-61.491302490234375,26.1324,429.12
6,348.09,30000,6,49.7451,-84.86334991455078,19.1519,307.07
7,620.91,35000,7,49.3856,-97.5703353881836,19.7344,471.27
8,762.68,40000,8,47.3048,-53.527435302734375,15.5131,824.86
9,803.31,45000,9,47.2331,-96.60637664794922,16.2921,710.27
10,2495.9,50000,10,48.16,-67.31683349609375,24.0915,1193.58
11,1736.73,55000,11,48.0714,-38.99861526489258,15.6859,1236.15
12,1624.79,60000,12,47.6924,-97.92974853515625,24.6829,1237.08
13,927.61,65000,13,47.0629,-45.41298294067383,18.9633,1820.01
14,1596.81,70000,14,47.5121,-99.40437316894531,23.9231,1275.96
15,1175.5,75000,15,48.1427,-106.8970947265625,20.2781,1089.23
16,1008.39,80000,16,48.4851,-41.10801696777344,30.1554,934.96
17,1354.59,85000,17,48.4243,-160.2698974609375,31.8253,1017.94
18,74.32,90000,18,48.7236,-135.0635986328125,35.8585,432.0
19,525.86,95000,19,51.0405,-116.12307739257812,15.787,439.08
20,731.17,100000,20,47.0298,-103.15595245361328,13.4699,960.85
21,1131.46,105000,21,46.4885,-150.10838317871094,15.1234,1007.89
22,1285.52,110000,22,47.5158,-152.1441650390625,24.703,1062.02
23,959.79,115000,23,47.0459,-219.47900390625,15.4488,750.26
24,794.58,120000,24,47.3354,-187.26370239257812,30.4309,756.7
25,742.17,125000,25,48.637,-131.82435607910156,17.9389,671.22
26,1604.13,130000,26,47.126,-127.92657470703125,15.5484,1478.5
27,153.83,135000,27,51.5595,-220.6735382080078,17.8302,245.91
28,1304.64,140000,28,47.7024,-217.44680786132812,27.107,835.39
29,702.54,145000,29,49.76,-227.66671752929688,36.4379,533.47
30,646.49,150000,30,49.1727,-247.56185913085938,15.2367,400.87
31,388.23,155000,31,49.846,-273.8359069824219,15.689,332.58
32,598.32,160000,32,51.2493,-277.3989562988281,16.211,329.81
33,1009.99,165000,33,50.0825,-219.1695098876953,17.461,806.46
