Real Det Return,Running Update Time,Running Forward KL,Running Env Steps,Real Sto Return,Running Reverse KL,Reward Loss,Itration
307.55,0,38.1856,0,296.41,21.9906,144.14125061035156,0
254.47,1,37.3676,5000,254.13,34.9249,108.18473815917969,1
244.6,2,37.7414,10000,265.28,37.0076,89.27851104736328,2
304.84,3,37.9412,15000,307.29,38.5791,83.67330932617188,3
320.49,4,37.3407,20000,326.92,23.7511,105.07695007324219,4
799.2,5,34.9584,25000,615.61,20.1263,111.2589340209961,5
1391.98,6,33.0968,30000,903.16,16.9924,77.02059173583984,6
180.98,7,33.2618,35000,603.23,20.0274,101.62511444091797,7
819.67,8,33.8091,40000,751.92,18.5223,98.51541137695312,8
901.78,9,33.016,45000,838.31,18.8736,87.71145629882812,9
2003.33,10,31.905,50000,1995.92,15.2694,-0.47547370195388794,10
2633.83,11,31.6666,55000,1943.38,16.2101,5.92842435836792,11
2916.38,12,31.4101,60000,2935.31,16.1108,-48.312557220458984,12
3235.66,13,31.5246,65000,1985.67,15.5858,23.45351791381836,13
3069.6,14,30.005,70000,2877.55,17.1214,-46.37010955810547,14
3110.38,15,30.3379,75000,2704.62,18.4562,-54.82826614379883,15
3252.65,16,30.2434,80000,2411.83,17.0074,-58.15800094604492,16
3230.79,17,30.5709,85000,2605.91,29.3295,-63.468448638916016,17
3132.96,18,31.2668,90000,3127.37,18.8252,-58.73247146606445,18
3159.26,19,30.0572,95000,3055.08,19.1552,-59.931312561035156,19
1010.71,20,32.4432,100000,893.25,33.5937,-75.57080078125,20
3248.5,21,31.5583,105000,1423.48,39.4895,-80.99165344238281,21
1184.64,22,32.0427,110000,1017.69,27.7986,-62.53339385986328,22
1159.15,23,32.3724,115000,1147.92,43.3395,-101.94012451171875,23
3241.91,24,30.6917,120000,2077.88,43.0066,-108.28805541992188,24
3208.24,25,29.9191,125000,3033.68,19.0917,-85.12871551513672,25
3266.46,26,31.0346,130000,1778.78,25.4119,-71.43881225585938,26
3238.76,27,30.5145,135000,2857.33,24.1478,-84.5041732788086,27
3229.05,28,30.5353,140000,3124.5,16.3562,-83.60720825195312,28
3212.85,29,30.1626,145000,3215.57,17.394,-83.8257064819336,29
3208.48,30,29.9034,150000,3236.84,17.1565,-82.61650085449219,30
3184.52,31,29.8491,155000,3188.8,25.2139,-88.93331909179688,31
3214.14,32,29.5998,160000,3232.94,17.795,-79.9801254272461,32
3216.36,33,30.6099,165000,3238.53,20.3837,-89.54711151123047,33
3208.58,34,29.9884,170000,3199.02,16.8815,-82.22260284423828,34
3185.5,35,30.4901,175000,3193.5,16.8026,-87.01280212402344,35
3192.72,36,29.9381,180000,3202.73,23.5806,-98.6838150024414,36
3186.27,37,30.061,185000,2864.34,17.1531,-85.28721618652344,37
3206.61,38,29.8749,190000,3220.65,16.3596,-86.02207946777344,38
3225.06,39,29.9603,195000,2957.19,16.3865,-87.15790557861328,39
3215.03,40,29.8643,200000,3216.07,16.6973,-86.58490753173828,40
3226.48,41,29.723,205000,2859.7,16.5306,-96.0975112915039,41
3210.0,42,29.5141,210000,3204.59,15.9021,-87.30062866210938,42
3237.46,43,30.2858,215000,3058.06,17.0039,-97.80394744873047,43
