Real Sto Return,Running Forward KL,Running Update Time,Real Det Return,Reward Loss,Running Env Steps,Itration,Running Reverse KL
-198.8,158.3986,0,-25.82,209.6768035888672,0,0,11.303
-81.46,158.5703,1,-71.92,177.3390655517578,5000,1,11.9501
96.47,158.346,2,85.12,135.98329162597656,10000,2,12.2736
361.39,158.2854,3,900.1,70.60360717773438,15000,3,13.6161
519.75,158.1355,4,942.32,18.672183990478516,20000,4,13.9206
665.72,158.0518,5,1127.8,21.510108947753906,25000,5,14.1563
770.22,157.7572,6,1216.85,-24.71062469482422,30000,6,14.5562
872.53,158.012,7,1193.48,-46.37313461303711,35000,7,14.8734
976.61,157.9104,8,1385.29,-73.60541534423828,40000,8,15.736
1082.83,157.8855,9,1543.32,-113.01286315917969,45000,9,16.7491
1113.52,157.8562,10,1493.09,-122.10216522216797,50000,10,16.4157
1191.16,157.8065,11,1565.93,-166.84335327148438,55000,11,16.6559
1168.21,157.5796,12,1533.89,-189.2535400390625,60000,12,15.9467
1251.9,157.5747,13,1690.9,-235.41856384277344,65000,13,16.6713
1268.56,157.5993,14,1662.63,-253.43304443359375,70000,14,16.3159
1216.02,157.5772,15,1628.12,-279.16015625,75000,15,15.6345
1332.46,157.6509,16,1713.19,-308.26849365234375,80000,16,16.1154
1330.04,157.8804,17,1728.1,-336.4933776855469,85000,17,15.8662
1425.94,157.6565,18,1845.64,-357.76324462890625,90000,18,16.503
1431.3,157.7088,19,1875.09,-386.6862487792969,95000,19,16.5037
1468.51,157.717,20,1843.84,-401.79290771484375,100000,20,16.5335
1494.22,157.5353,21,1856.48,-426.0641784667969,105000,21,16.5182
1509.93,157.8889,22,1878.18,-480.08306884765625,110000,22,16.4554
1482.31,157.8913,23,1816.14,-504.218505859375,115000,23,16.1372
1560.55,157.7127,24,1922.99,-519.9196166992188,120000,24,16.5041
1540.69,157.5104,25,1902.45,-553.1342163085938,125000,25,16.2782
1569.05,157.6171,26,1890.79,-590.55712890625,130000,26,16.1396
1584.03,157.6732,27,1844.82,-614.0764770507812,135000,27,16.1036
