Itration,Real Sto Return,Running Reverse KL,Real Det Return,Running Forward KL
0,-217.95,11.3327,-266.68,158.3694
1,-102.51,11.2637,-1.24,158.231
2,104.07,11.8442,723.05,158.1825
3,232.52,11.7732,696.55,157.7735
4,353.19,11.7053,804.08,157.61
5,425.46,12.3506,887.69,157.6723
6,501.43,12.758,880.69,157.6305
7,578.45,12.8735,955.07,157.6354
8,670.59,13.7255,1053.22,157.6312
9,894.88,14.9105,1174.17,157.7181
10,978.3,15.6185,1349.24,157.5442
11,991.04,15.8817,1449.69,157.7671
12,1073.71,16.1652,1406.14,158.0367
13,1111.02,16.2676,1477.77,157.7046
14,1095.84,15.81,1493.97,157.6621
15,1172.78,16.1577,1666.83,157.6702
16,1287.45,16.1196,1642.16,157.5338
17,1277.51,16.256,1712.72,157.653
18,1332.69,15.9881,1726.83,157.5409
19,1387.91,16.0094,1808.07,157.6013
20,1408.37,15.8879,1802.37,157.5809
21,1420.18,16.1575,1824.2,157.7329
22,1455.74,15.9527,1816.19,157.6117
23,1466.57,15.984,1818.16,157.6837
24,1492.81,16.1226,1871.58,157.6666
25,1529.67,16.3967,1864.28,157.3789
26,1521.63,16.2878,1924.76,157.704
27,1550.22,15.9566,1866.03,157.529
28,1563.0,16.239,1950.72,157.4886
29,1552.97,15.9083,1901.36,157.4842
30,1580.69,16.1597,1945.9,157.402
31,1610.03,16.3444,1966.62,157.3649
32,1628.31,16.411,2009.26,157.5586
33,1605.37,16.3965,1995.11,157.5558
34,1648.84,16.519,2026.27,157.5707
35,1654.26,16.3154,2049.54,157.3347
36,1646.83,16.4971,2037.34,157.4339
37,1660.16,16.205,2055.88,157.2443
38,1673.28,16.3645,2001.47,157.4575
39,1673.91,16.3838,2042.74,157.2227
40,1659.69,16.4782,2028.43,157.4896
41,1685.2,16.4827,2079.68,157.4399
42,1678.53,16.3914,2035.87,157.0806
43,1694.43,16.1328,2006.12,157.2323
44,1700.74,16.3781,2060.96,157.4559
45,1656.25,15.867,1978.4,157.2017
46,1672.22,16.1549,2061.35,157.2069
47,1682.11,15.7462,2055.93,157.0381
48,1712.7,15.9918,2049.73,157.1912
49,1710.58,16.0094,2108.07,157.1293
50,1683.58,15.4444,2056.48,156.9004
51,1715.41,16.3062,2118.12,157.1685
52,1447.59,14.7013,441.76,156.7872
53,-143.78,17.082,-142.49,159.9062
54,-38.34,15.3573,-12.42,159.0686
55,-151.37,15.9015,-230.71,159.1327
56,973.15,14.1709,1486.7,157.0017
57,673.02,15.0574,703.41,156.9183
58,867.11,13.5017,623.39,156.6044
59,705.41,14.3611,680.36,156.8555
60,958.18,13.5808,1085.59,156.8049
