Itration,Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL
0,158.5851,-11.94,-204.06,11.7573
1,158.4927,17.42,-35.14,11.8788
2,158.3634,622.49,155.69,12.6989
3,158.2934,813.3,381.88,13.5781
4,158.1328,883.12,549.42,14.0137
5,157.9499,934.68,651.96,14.2868
6,157.8493,867.39,701.62,14.5148
7,157.9347,880.26,854.21,14.7889
8,157.8997,1224.55,871.58,15.6583
9,157.8148,1404.11,913.77,15.1793
10,157.9177,1419.11,886.94,15.5778
11,157.9587,1478.33,1047.79,16.3049
12,157.821,1528.36,1084.4,16.3578
13,158.0395,1537.62,1164.0,16.54
14,157.8966,1575.02,1112.65,16.0981
15,157.794,1652.67,1262.11,16.2784
16,157.6378,1692.23,1293.84,16.1233
17,157.7736,1726.32,1331.34,16.3458
18,157.8282,1723.83,1332.34,16.0377
19,157.6315,1802.27,1375.84,16.173
20,157.893,1788.36,1375.86,16.2522
21,157.5057,1812.26,1432.99,16.1821
22,157.5005,1901.9,1524.08,16.5341
23,157.6441,1912.87,1510.64,16.7195
24,157.4604,1906.76,1511.08,16.3955
25,157.6565,1913.2,1505.47,16.6416
26,157.5458,1952.98,1560.17,16.5413
27,157.4196,1927.9,1553.6,16.8138
28,157.3683,1942.99,1564.79,16.3319
29,157.3349,1935.35,1560.25,16.1384
30,157.3897,1951.17,1564.55,16.0392
31,157.1658,2003.63,1609.69,16.2932
32,157.303,1918.86,1588.64,16.017
33,157.2768,1963.27,1614.46,16.1371
34,157.2847,1978.41,1612.31,15.8723
35,157.3002,2041.01,1647.8,16.2921
36,157.1189,1996.91,1644.78,16.1695
37,157.0334,2090.7,1662.21,16.0511
38,157.3052,2017.92,1659.85,16.1643
39,157.2519,2052.47,1666.8,16.2637
40,157.1115,2052.95,1645.12,16.0192
41,156.9679,2045.3,1699.2,15.8457
42,156.9471,2033.84,1681.49,15.7404
43,157.0237,2048.41,1657.26,15.9563
44,156.934,2091.14,1711.87,15.8133
45,157.0118,2020.51,1676.98,15.5852
46,157.1188,2096.75,1740.22,16.44
47,157.0435,2006.4,1684.44,15.8058
48,157.0344,2125.97,1718.33,16.0693
49,156.8973,2104.22,1721.56,16.0828
50,156.9577,2116.32,1737.22,16.0446
51,157.017,2112.47,1741.46,16.0029
52,157.0552,2086.46,1730.77,16.0085
53,157.0435,2130.19,1731.48,15.7794
54,156.9756,2099.22,1718.56,15.8575
55,157.0447,2125.88,1748.24,15.5585
56,156.7038,2109.38,1766.2,15.6947
57,156.9168,2100.03,1737.01,15.6289
58,157.0155,2144.58,1777.79,15.9428
59,156.9016,2119.15,1772.37,15.9778
60,156.8902,2094.27,1741.37,15.7687
61,156.9818,2124.46,1761.46,15.445
62,156.8105,2099.97,1772.2,15.7433
63,156.9823,2058.94,1744.59,15.6025
64,156.8649,2107.62,1768.02,15.3139
65,156.7672,2064.68,1709.39,15.4448
66,157.0242,2106.91,1766.94,15.6806
67,156.8903,2137.23,1750.91,15.8478
