Running Forward KL,Reward Loss,Running Env Steps,Real Sto Return,Running Reverse KL,Real Det Return,Itration,Running Update Time
158.3527,211.91122436523438,0,-196.22,11.4005,12.54,0,0
158.4041,177.83299255371094,5000,-74.33,11.8877,44.62,1,1
158.1518,144.89825439453125,10000,81.87,11.9802,22.69,2,2
157.9434,91.18832397460938,15000,319.4,12.6864,826.35,3,3
157.7421,46.89680099487305,20000,532.16,13.4352,1042.77,4,4
157.8064,6.828859329223633,25000,605.57,14.1313,1029.97,5,5
157.8865,-6.7507476806640625,30000,753.93,14.4391,1040.42,6,6
157.8545,-32.522029876708984,35000,764.23,14.5566,1128.46,7,7
157.8363,-49.64702606201172,40000,787.06,14.812,1160.7,8,8
157.75,-85.58071899414062,45000,960.92,15.2039,1306.77,9,9
157.792,-112.99251556396484,50000,1013.52,16.0306,1380.17,10,10
157.9598,-136.69046020507812,55000,1071.54,16.0431,1399.31,11,11
158.0174,-173.9252471923828,60000,1176.79,16.261,1576.18,12,12
157.9914,-197.34576416015625,65000,1160.87,16.3342,1536.27,13,13
158.0896,-225.25009155273438,70000,1211.5,16.4266,1620.93,14,14
157.9305,-267.2612609863281,75000,1223.81,16.1075,1659.59,15,15
157.8186,-299.8086853027344,80000,1271.88,16.4079,1692.23,16,16
157.8748,-315.3520812988281,85000,1289.41,16.4476,1738.58,17,17
157.8347,-344.17431640625,90000,1335.25,16.1809,1738.71,18,18
157.8528,-374.6839904785156,95000,1402.1,16.5259,1786.85,19,19
157.6006,-409.37103271484375,100000,1416.53,16.6137,1879.25,20,20
157.7835,-435.6460876464844,105000,1477.3,16.7681,1867.07,21,21
157.6399,-460.53985595703125,110000,1477.93,16.5618,1869.75,22,22
157.8054,-497.50860595703125,115000,1526.6,16.5862,1872.97,23,23
157.848,-518.1484985351562,120000,1537.35,16.6225,1861.1,24,24
157.7009,-561.8583374023438,125000,1579.04,16.6655,1908.43,25,25
157.7643,-582.8336181640625,130000,1577.98,16.9045,1874.97,26,26
157.743,-630.044921875,135000,1581.59,16.7218,1897.42,27,27
157.897,-640.4514770507812,140000,1577.14,16.7084,1927.32,28,28
