Itration,Real Det Return,Running Reverse KL,Running Forward KL,Real Sto Return
0,336.44,19.2727,38.1475,327.33
1,309.44,18.8689,37.485,292.62
2,290.31,17.5357,37.2532,297.84
3,300.09,34.8633,36.278,324.44
4,338.25,60.4317,36.7301,304.29
5,366.62,20.0515,36.9321,404.06
6,337.22,16.994,36.2716,336.6
7,390.29,18.3962,35.1859,398.93
8,550.31,22.738,34.0905,456.48
9,464.97,18.7109,34.1764,529.59
10,895.4,22.6349,32.6169,693.24
11,790.56,20.5128,32.1896,846.35
12,202.0,27.7532,33.1076,210.06
13,368.22,25.3719,36.3047,368.7
14,847.47,21.3859,31.3177,788.6
15,1068.47,19.7931,29.6928,1056.84
16,935.73,28.4985,30.0602,1045.84
17,197.91,46.8686,30.3583,214.5
18,950.76,37.2656,28.8973,994.74
19,1196.2,18.0449,28.8604,1158.79
20,1394.02,16.8575,28.6405,1275.04
21,1151.51,31.6271,29.2798,987.69
22,1538.14,32.1304,28.4052,1233.66
23,1191.58,22.8649,28.5192,1088.02
24,2143.76,27.8709,27.5656,1507.08
25,3313.86,20.5446,27.7404,1848.44
26,3251.17,19.7937,26.8375,2654.05
27,3217.02,19.8354,26.6044,2130.41
28,3300.59,20.2615,27.645,2555.91
29,1303.32,17.9689,28.8993,1176.15
30,3184.21,14.7726,27.5219,3133.76
31,3321.11,18.356,26.2676,2774.25
32,3300.32,13.1732,26.5032,2880.97
