Itration,Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL
0,158.5119,154.16,-175.74,11.5728
1,158.3521,167.25,-39.25,11.9244
2,158.4188,797.87,225.22,13.02
3,157.9555,926.68,460.87,14.3227
4,158.1042,1001.29,642.9,14.4432
5,157.9745,1016.2,716.45,14.6932
6,157.8288,852.54,712.5,14.5841
7,157.8133,1210.62,859.13,15.2022
8,158.0012,1263.38,895.99,15.3684
9,158.2129,1431.79,985.5,15.9847
10,158.095,1407.66,1010.84,16.2579
11,157.988,1480.41,1093.54,16.4899
12,158.0399,1516.36,1068.4,16.3019
13,158.1351,1555.27,1133.32,16.4104
14,158.1252,1553.27,1133.46,16.4074
15,157.9787,1564.3,1187.05,16.3358
16,157.7409,1662.3,1256.81,16.3178
17,157.8009,1659.44,1273.72,16.2933
18,157.6855,1754.34,1349.24,16.5399
19,157.8071,1742.88,1327.54,16.4526
20,157.7257,1809.26,1374.96,16.5013
21,157.6157,1867.52,1413.65,16.6395
22,157.8706,1808.14,1418.34,16.483
23,157.8942,1891.5,1500.54,16.7432
24,157.7072,1883.73,1467.3,16.1881
25,157.7355,1863.91,1488.44,16.4867
26,157.669,1926.77,1540.96,16.8984
27,157.4982,1893.99,1510.35,16.3524
28,157.5683,1945.83,1568.11,16.8127
29,157.5793,1951.54,1577.71,16.5746
30,157.7868,1957.12,1588.64,16.8208
31,157.5522,1993.83,1602.88,16.5771
32,157.5754,1892.99,1579.68,16.4971
33,157.3988,1989.32,1604.91,16.6888
34,157.529,1954.0,1594.15,16.4357
35,157.4275,2023.4,1621.8,16.4404
36,157.6191,1997.84,1643.29,16.5344
37,157.294,2029.21,1655.57,16.5454
38,157.449,1965.65,1623.39,16.2262
39,156.9923,2058.45,1662.75,16.3377
40,157.4061,2028.21,1644.98,16.2885
41,157.303,1980.31,1640.83,16.022
42,157.1876,2099.15,1707.18,16.6517
43,157.2493,2010.7,1668.53,15.9979
44,157.1957,2006.94,1677.41,16.3143
