Real Det Return,Itration,Running Reverse KL,Running Env Steps,Real Sto Return,Reward Loss,Running Forward KL,Running Update Time
9.73,0,11.1663,0,-209.15,-299.77178955078125,158.4027,0
297.78,1,11.6114,5000,-45.76,-340.8909606933594,158.2179,1
702.44,2,11.9117,10000,198.13,-315.77288818359375,158.0904,2
750.33,3,13.113,15000,376.01,-310.7059020996094,158.0668,3
802.16,4,12.9501,20000,449.34,-355.5266418457031,157.8678,4
955.55,5,13.8747,25000,567.74,-389.09759521484375,158.0185,5
1057.08,6,13.6727,30000,614.93,-435.284912109375,157.9948,6
1151.0,7,13.8322,35000,705.18,-487.6698303222656,157.8948,7
1065.87,8,14.3833,40000,792.21,-530.5211791992188,157.9628,8
1355.81,9,15.0272,45000,921.76,-562.6467895507812,157.9574,9
1465.47,10,16.2682,50000,1068.44,-572.5032348632812,157.8505,10
1504.97,11,16.3051,55000,1121.34,-602.5516967773438,157.7987,11
1483.28,12,16.3916,60000,1157.41,-644.6817016601562,157.7659,12
1558.18,13,16.388,65000,1157.72,-674.692138671875,157.9243,13
1624.62,14,16.3946,70000,1211.94,-696.452880859375,157.735,14
1615.37,15,16.3378,75000,1248.53,-739.3333740234375,157.915,15
1737.05,16,16.3353,80000,1330.07,-764.0509643554688,157.6831,16
1780.74,17,16.7485,85000,1379.88,-796.7550659179688,157.7802,17
1749.7,18,16.7789,90000,1367.02,-834.8788452148438,157.8289,18
1770.12,19,16.2788,95000,1431.9,-865.576416015625,157.7665,19
1850.39,20,16.1864,100000,1410.73,-895.0274047851562,157.7535,20
1846.55,21,16.5531,105000,1488.26,-920.8223876953125,157.8274,21
1863.02,22,16.008,110000,1492.75,-967.978271484375,157.8891,22
1915.3,23,16.5821,115000,1539.15,-988.647216796875,157.5242,23
1929.34,24,16.5119,120000,1492.0,-1023.89013671875,157.6273,24
1831.4,25,16.121,125000,1528.76,-1065.1314697265625,157.5387,25
1904.72,26,16.372,130000,1574.22,-1081.3916015625,157.5339,26
1878.01,27,16.095,135000,1537.52,-1122.133544921875,157.572,27
1930.48,28,16.2753,140000,1601.13,-1146.1859130859375,157.5053,28
