Running Update Time,Itration,Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL
0,0,-41.01,0,11.5146,-170.26,-294.3069152832031,158.3997
1,1,-10.01,5000,11.7075,-138.23,-336.7611389160156,158.4079
2,2,82.78,10000,12.0684,3.89,-372.7024230957031,158.4913
3,3,538.76,15000,12.0411,83.84,-389.03692626953125,158.2456
4,4,778.44,20000,12.3492,326.53,-388.0624084472656,157.8592
5,5,1012.21,25000,13.0561,449.95,-404.9073181152344,157.6371
6,6,1133.12,30000,13.801,603.14,-450.07916259765625,157.8817
7,7,1169.09,35000,14.7477,759.74,-480.69390869140625,158.2026
8,8,1203.38,40000,15.5,834.45,-512.2604370117188,158.1033
9,9,1239.7,45000,15.2007,860.74,-562.4509887695312,158.1692
10,10,1239.13,50000,15.1769,867.46,-598.0737915039062,158.1886
11,11,1366.36,55000,15.7835,983.09,-621.7001342773438,157.7215
12,12,1395.88,60000,15.9499,985.07,-664.4293823242188,158.1862
13,13,1517.2,65000,16.3291,1080.19,-695.4703369140625,158.168
14,14,1558.69,70000,16.6628,1154.24,-721.611083984375,158.2502
15,15,1579.47,75000,16.4649,1162.16,-759.789794921875,158.0787
16,16,1642.73,80000,16.7587,1246.97,-765.0618286132812,158.0135
17,17,1677.09,85000,16.6036,1286.19,-812.7355346679688,158.1317
18,18,1709.39,90000,16.5162,1306.66,-836.3038330078125,157.9783
19,19,1751.59,95000,16.336,1332.64,-862.9384155273438,157.7717
20,20,1770.79,100000,16.2427,1374.86,-891.3212890625,157.8343
21,21,1771.74,105000,15.9297,1350.48,-962.6319580078125,157.7947
22,22,1863.69,110000,16.7252,1426.98,-934.8291625976562,157.8339
23,23,1821.75,115000,16.2795,1469.27,-998.6156005859375,157.7806
24,24,1780.81,120000,16.4625,1443.86,-1019.4722290039062,157.7412
25,25,1841.77,125000,16.4188,1447.56,-1050.3485107421875,157.694
26,26,1819.87,130000,16.3557,1507.01,-1091.8182373046875,157.7657
27,27,1883.13,135000,16.319,1530.67,-1113.77001953125,157.6378
28,28,1822.38,140000,16.4892,1530.86,-1157.15380859375,157.6643
29,29,1864.37,145000,16.313,1534.12,-1167.793701171875,157.4977
30,30,1819.58,150000,16.3334,1520.27,-1225.16796875,157.7956
31,31,1919.0,155000,16.5163,1528.79,-1245.1602783203125,157.633
32,32,1865.18,160000,16.1712,1531.12,-1293.2642822265625,157.6706
33,33,1985.34,165000,16.2005,1575.95,-1296.599365234375,157.5939
34,34,1946.61,170000,16.2657,1594.42,-1349.2442626953125,157.567
35,35,1972.98,175000,16.3959,1621.11,-1364.86083984375,157.4976
36,36,2026.13,180000,16.1761,1667.53,-1378.4906005859375,157.4082
37,37,1902.34,185000,15.6834,1609.98,-1427.802978515625,157.3121
38,38,1929.5,190000,15.8142,1594.59,-1464.9412841796875,157.3098
39,39,2036.49,195000,16.3113,1660.72,-1479.41796875,157.5142
40,40,2043.38,200000,16.1609,1652.98,-1529.3624267578125,157.3582
41,41,2050.86,205000,16.4694,1669.6,-1543.6070556640625,157.2804
42,42,1907.04,210000,16.08,1620.44,-1584.39208984375,157.3596
43,43,2058.52,215000,16.2611,1674.75,-1628.363037109375,157.2889
44,44,2057.18,220000,16.2542,1626.15,-1656.334716796875,157.1517
45,45,2027.53,225000,16.3625,1706.27,-1669.91162109375,156.9987
46,46,2026.29,230000,15.7348,1674.09,-1696.220458984375,157.1514
47,47,2060.26,235000,16.1952,1668.08,-1750.4119873046875,157.117
48,48,2061.79,240000,16.3265,1698.77,-1787.8824462890625,157.3141
49,49,2066.17,245000,16.3259,1679.77,-1806.129638671875,157.0793
50,50,2112.63,250000,16.476,1699.31,-1858.32861328125,157.2452
51,51,2058.87,255000,16.2527,1696.4,-1878.734375,157.1791
52,52,2023.6,260000,16.2863,1678.88,-1906.65576171875,157.1553
53,53,2072.69,265000,16.4426,1710.49,-1959.57177734375,157.2047
54,54,2102.16,270000,16.3498,1704.26,-1985.920654296875,157.2754
55,55,2124.52,275000,16.8211,1750.26,-2030.5728759765625,157.4305
56,56,2090.97,280000,16.1368,1711.13,-2052.724853515625,157.0589
57,57,2084.51,285000,16.2913,1748.01,-2084.050048828125,156.9738
58,58,2049.12,290000,16.2987,1718.21,-2112.284423828125,157.1953
59,59,2032.97,295000,15.9541,1669.52,-2164.075439453125,157.119
60,60,2043.21,300000,16.0186,1712.01,-2190.755859375,157.0881
61,61,2017.3,305000,16.2826,1725.67,-2241.7421875,157.0936
62,62,2113.43,310000,16.9618,1766.07,-2277.6357421875,157.3181
63,63,2085.27,315000,15.9272,1689.2,-2313.23974609375,156.9956
64,64,2032.47,320000,15.9887,1693.41,-2364.887451171875,157.1846
65,65,2076.48,325000,16.3227,1724.11,-2393.842529296875,157.3496
66,66,2069.32,330000,16.4224,1712.92,-2427.110107421875,157.4033
67,67,2062.16,335000,16.3048,1731.11,-2465.640625,157.1783
68,68,2017.31,340000,16.2792,1722.74,-2492.35888671875,157.0317
69,69,2126.38,345000,16.3252,1739.01,-2533.33056640625,157.1709
70,70,2042.64,350000,15.8695,1698.14,-2577.969482421875,157.1742
71,71,2088.33,355000,16.1497,1761.55,-2607.65576171875,157.1535
72,72,2051.0,360000,16.0322,1742.38,-2655.637939453125,156.8119
