Running Forward KL,Real Det Return,Running Update Time,Running Env Steps,Running Reverse KL,Reward Loss,Real Sto Return,Itration
39.0381,260.87,0,0,21.5225,-151.99171447753906,231.43,0
37.7489,275.44,1,5000,26.4828,-162.66766357421875,279.18,1
36.4552,301.44,2,10000,27.6898,-158.6841278076172,296.05,2
33.758,329.86,3,15000,17.443,-13.144083023071289,350.19,3
33.7088,364.93,4,20000,18.6667,8.161962509155273,292.31,4
33.6515,415.64,5,25000,34.8637,-119.9617691040039,541.7,5
32.554,595.83,6,30000,22.7629,-100.98065185546875,538.95,6
31.3144,733.48,7,35000,32.2423,-126.79345703125,746.9,7
33.6716,634.81,8,40000,43.8696,-146.65074157714844,541.13,8
33.0746,567.85,9,45000,15.1336,-32.93979263305664,485.69,9
34.1383,603.45,10,50000,21.4973,-107.23245239257812,624.32,10
32.5916,678.94,11,55000,69.4648,-184.82711791992188,641.25,11
30.8566,816.81,12,60000,52.551,-126.38285827636719,1087.36,12
32.4347,1023.88,13,65000,20.6198,-115.67677307128906,900.85,13
31.3448,1054.62,14,70000,16.4953,-80.20439910888672,1110.26,14
31.5053,1006.51,15,75000,43.2412,-224.89532470703125,956.62,15
30.666,1551.97,16,80000,23.0955,-121.42904663085938,1635.32,16
29.388,2862.39,17,85000,20.7224,-104.57732391357422,1896.24,17
28.6534,1628.49,18,90000,28.3175,-143.1088409423828,1415.29,18
30.0666,2223.81,19,95000,42.3756,-150.83743286132812,1589.91,19
30.9292,1701.02,20,100000,45.775,-223.77850341796875,1396.35,20
33.8599,203.29,21,105000,89.9245,-295.3331604003906,358.69,21
30.5141,1200.63,22,110000,21.4421,-174.268798828125,1089.74,22
31.765,931.22,23,115000,15.212,-132.0898895263672,1463.96,23
