Itration,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return
0,16.473,38.8291,188.24,185.79
1,43.5116,39.4211,235.71,239.04
2,20.6211,38.689,237.45,222.03
3,31.0891,38.0682,277.78,280.25
4,18.0278,36.061,288.03,289.42
5,19.679,36.715,285.93,294.26
6,53.5481,35.8766,333.37,339.76
7,16.613,34.3785,364.7,374.09
8,34.128,34.4247,495.3,399.94
9,16.8967,35.2894,395.82,502.84
10,18.5686,34.226,539.76,531.47
11,35.2702,33.939,583.16,570.71
12,31.6728,34.103,647.31,634.15
13,31.2202,31.8535,804.45,630.46
14,30.3561,32.9221,994.38,1329.59
15,23.269,33.6083,959.57,850.02
16,19.4927,30.5733,968.31,846.77
17,19.8262,32.2087,993.26,967.11
18,19.1303,31.8072,1030.8,912.48
19,20.1384,32.7055,1095.39,1035.5
20,13.5495,30.06,1994.77,1561.21
21,16.057,31.3407,1142.57,1613.65
22,17.5515,32.1375,1265.46,1268.31
23,14.5354,28.9906,2310.85,3171.24
24,16.9022,30.6365,1393.85,1637.3
25,18.8162,32.1667,1198.6,1097.66
26,16.907,30.7572,1213.77,1161.18
27,16.619,31.2678,1111.63,1129.84
28,18.9845,32.3776,1117.83,1374.07
29,19.4733,32.0802,1087.58,1300.38
30,17.4422,30.1736,2377.47,3107.97
31,19.5724,33.1998,975.64,1001.88
32,22.3789,32.642,1173.4,1224.19
33,20.6946,30.2475,1302.97,1756.06
34,20.443,30.9031,1404.23,2115.63
35,24.4119,32.242,1099.87,1275.19
36,20.5687,30.0103,1092.94,1484.13
37,22.1995,32.2036,1125.86,1178.03
38,25.1815,31.4064,1321.13,2919.34
39,19.9031,30.5239,1656.23,3147.36
40,25.425,32.5764,1237.66,1032.41
41,22.7208,30.4566,1840.95,3112.78
42,22.6585,32.0273,1340.76,1307.77
43,22.6505,30.4172,2220.36,3171.53
44,22.0577,31.7383,1464.45,1312.01
45,25.1256,30.6732,1897.81,3161.97
46,27.0572,31.2648,1731.21,1645.15
47,25.8541,30.62,1804.26,1282.0
48,24.3425,32.0047,1846.2,2905.98
49,18.2356,29.9498,2790.89,3208.61
50,19.43,30.0117,2053.38,3228.48
51,22.7814,30.9627,1625.31,2623.22
52,15.1603,29.511,2709.06,3222.84
53,22.3067,30.7478,1338.62,1062.31
