Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Running Env Steps,Itration,Running Update Time,Reward Loss
15.8206,37.8529,233.82,235.29,0,0,0,223.62864685058594
18.4892,37.2681,285.93,294.91,5000,1,1,206.43011474609375
18.1159,36.8805,345.04,330.81,10000,2,2,210.17816162109375
26.5935,35.9677,374.16,365.18,15000,3,3,217.3500518798828
25.7395,32.6355,318.01,397.78,20000,4,4,159.9641571044922
22.8133,32.6339,693.05,645.03,25000,5,5,176.52398681640625
25.4617,32.7496,696.87,677.83,30000,6,6,161.84390258789062
24.816,32.4672,609.38,644.0,35000,7,7,151.48028564453125
39.0307,32.1479,628.6,636.96,40000,8,8,128.5035858154297
29.7011,32.508,710.25,769.71,45000,9,9,129.40174865722656
26.515,31.5504,983.21,891.97,50000,10,10,104.64323425292969
21.2476,31.2833,734.24,678.87,55000,11,11,89.51634979248047
17.7189,30.9504,801.68,966.58,60000,12,12,102.03776550292969
20.3281,29.1745,1041.78,1426.09,65000,13,13,88.40505981445312
17.4879,29.7321,1859.76,1301.99,70000,14,14,68.42115783691406
22.1823,30.1054,1922.35,1638.94,75000,15,15,54.62018966674805
21.7652,29.671,1489.81,1256.48,80000,16,16,64.06421661376953
21.7324,30.465,1270.9,1151.08,85000,17,17,54.1407470703125
25.8687,30.9528,913.34,862.14,90000,18,18,56.803871154785156
22.6774,29.3699,1219.81,1182.42,95000,19,19,48.75711441040039
16.929,29.4891,1882.63,1374.37,100000,20,20,31.583864212036133
13.5232,27.6094,1175.29,1666.59,105000,21,21,20.482391357421875
22.465,29.6136,1013.21,1069.89,110000,22,22,28.273195266723633
16.5293,27.9947,3048.55,2106.95,115000,23,23,2.1095705032348633
12.9123,27.0811,3095.59,2551.08,120000,24,24,-7.119387626647949
17.921,29.2794,1018.15,1099.23,125000,25,25,3.735236883163452
20.1842,28.6067,1003.19,1973.78,130000,26,26,4.241529941558838
14.0059,27.6654,3058.52,2083.68,135000,27,27,-18.12718391418457
15.035,27.7811,3072.78,2627.56,140000,28,28,-15.233386039733887
14.2525,27.8949,2333.4,2987.79,145000,29,29,-18.080093383789062
14.1206,27.2752,2584.2,2140.29,150000,30,30,-24.613887786865234
14.1663,25.7387,3304.19,2308.25,155000,31,31,-30.635330200195312
10.9355,25.2008,3180.04,3128.24,160000,32,32,-13.382368087768555
11.6547,25.895,3173.47,3177.32,165000,33,33,-15.784353256225586
13.0398,24.5963,2774.6,2106.59,170000,34,34,-35.266929626464844
12.8113,25.7013,3429.99,2239.94,175000,35,35,-35.79741668701172
11.9555,25.4903,3360.48,2811.23,180000,36,36,-22.518775939941406
11.9214,24.291,3332.95,3343.44,185000,37,37,-18.392696380615234
13.245,26.1529,3311.79,3299.31,190000,38,38,-22.58535385131836
12.8257,25.4172,3401.43,2917.53,195000,39,39,-21.353893280029297
13.1006,25.5582,3368.49,3362.82,200000,40,40,-25.939367294311523
13.0809,25.6867,3424.67,3240.2,205000,41,41,-36.6724739074707
12.9707,25.1661,3454.59,3334.25,210000,42,42,-30.070648193359375
11.1238,24.1093,3373.1,2565.7,215000,43,43,-41.97649002075195
11.5684,23.8036,3436.28,3395.2,220000,44,44,-24.33315658569336
11.6045,24.0613,3423.68,2848.77,225000,45,45,-27.45448875427246
13.1454,25.6276,3416.14,3405.13,230000,46,46,-24.266868591308594
11.9592,24.7902,3387.52,3367.5,235000,47,47,-32.093421936035156
11.7113,24.4015,3423.03,3324.36,240000,48,48,-26.87224769592285
13.9417,24.9895,3505.12,2458.34,245000,49,49,-46.961158752441406
