Running Reverse KL,Real Det Return,Real Sto Return,Running Update Time,Running Env Steps,Reward Loss,Itration,Running Forward KL
13.0817,281.42,347.09,0,0,122.25270080566406,0,49.1934
13.2496,449.37,208.36,1,5000,197.46304321289062,1,50.0408
13.3814,383.23,365.66,2,10000,91.21857452392578,2,49.0469
21.9415,346.83,256.7,3,15000,166.3538055419922,3,49.8135
17.068,302.15,413.66,4,20000,124.5984878540039,4,49.2008
13.2851,497.41,276.83,5,25000,203.88368225097656,5,50.0029
13.9417,336.74,423.9,6,30000,122.67550659179688,6,48.8294
19.1141,605.55,540.89,7,35000,78.43902587890625,7,48.2675
37.7717,555.67,665.08,8,40000,2.8075873851776123,8,48.5195
27.0525,1273.57,920.59,9,45000,-5.936413764953613,9,47.5802
25.3527,997.18,1413.98,10,50000,-73.80757904052734,10,46.5028
15.0225,727.67,715.98,11,55000,122.67741394042969,11,47.3943
17.2352,849.8,715.7,12,60000,57.21232223510742,12,46.7166
17.5574,764.78,1093.16,13,65000,31.59105682373047,13,46.158
20.0722,2501.25,1740.56,14,70000,-26.752620697021484,14,46.2109
18.044,1692.02,1512.79,15,75000,20.285367965698242,15,46.1382
16.1176,1743.83,1258.49,16,80000,36.67169952392578,16,46.1739
27.1941,1339.43,1142.82,17,85000,-87.01277160644531,17,46.7182
21.3571,1008.97,1061.82,18,90000,-125.98997497558594,18,46.8516
15.7905,1481.78,1245.41,19,95000,-42.750240325927734,19,46.5086
19.6867,1149.77,1071.95,20,100000,-87.52304077148438,20,46.0707
24.7819,1401.38,1084.5,21,105000,-192.3012237548828,21,46.5784
17.3172,1579.1,1168.07,22,110000,-159.2795867919922,22,45.5647
17.8177,1299.33,1121.74,23,115000,-142.5169677734375,23,47.3215
17.2041,1045.65,918.63,24,120000,-133.16441345214844,24,46.4043
19.7955,1274.87,1083.7,25,125000,-234.912109375,25,47.198
21.3778,1336.88,1240.89,26,130000,-242.37774658203125,26,45.6455
20.6896,1354.84,983.08,27,135000,-268.9385986328125,27,46.5404
16.4642,1680.32,1179.12,28,140000,-126.91289520263672,28,45.874
19.6843,1538.82,1403.02,29,145000,-208.59828186035156,29,46.026
23.2994,1486.65,1117.74,30,150000,-255.73223876953125,30,46.3112
22.4303,937.98,1046.93,31,155000,-259.1441345214844,31,46.3502
18.1772,1568.68,1202.76,32,160000,-157.70176696777344,32,46.3098
23.887,1076.72,955.25,33,165000,-236.854736328125,33,46.2117
32.6938,840.65,1005.6,34,170000,-128.64199829101562,34,46.7479
43.7717,1504.54,1169.33,35,175000,-197.10740661621094,35,46.8033
26.7906,1754.66,1214.03,36,180000,-284.6353759765625,36,46.3939
34.1775,1043.36,1303.36,37,185000,-340.9322814941406,37,46.7236
15.8862,1864.68,1078.19,38,190000,-190.25930786132812,38,46.0614
16.458,1173.22,1143.84,39,195000,-188.9246063232422,39,47.1713
16.2422,1607.69,1059.44,40,200000,-202.79934692382812,40,46.519
17.041,1563.85,1273.34,41,205000,-237.08102416992188,41,46.0187
19.1457,1729.29,1326.04,42,210000,-298.9551086425781,42,46.2983
28.9616,1352.07,1107.21,43,215000,-314.3272705078125,43,47.1803
27.1037,1398.99,1314.31,44,220000,-294.2186584472656,44,46.1463
26.251,1876.67,1359.3,45,225000,-276.67108154296875,45,46.3658
23.4253,1160.6,1237.37,46,230000,-309.0249328613281,46,46.0785
17.9383,2121.52,1730.65,47,235000,-289.1920471191406,47,45.9596
17.3097,2247.45,2134.79,48,240000,-302.2607116699219,48,46.0001
30.6727,1925.58,2158.58,49,245000,-326.7115173339844,49,46.1181
23.4371,1671.35,1556.29,50,250000,-311.35052490234375,50,45.6792
18.3203,2070.76,1896.88,51,255000,-319.5863037109375,51,45.5126
25.1382,1415.86,1190.64,52,260000,-345.1166076660156,52,46.3349
14.8804,2864.66,2787.36,53,265000,-297.74609375,53,45.1532
16.8655,2823.86,2417.82,54,270000,-319.2999267578125,54,45.5388
20.2657,2657.6,1731.31,55,275000,-366.2602233886719,55,44.8721
22.202,2978.1,2496.82,56,280000,-361.13653564453125,56,45.5266
20.0536,3252.79,2807.38,57,285000,-351.9336242675781,57,45.138
16.773,2781.51,3018.19,58,290000,-333.6170349121094,58,44.5201
17.6943,3262.08,3098.69,59,295000,-370.5796203613281,59,45.6196
17.275,3222.49,3272.37,60,300000,-348.13134765625,60,45.3302
17.8294,3064.03,3029.29,61,305000,-384.9101257324219,61,45.1131
19.4673,3247.68,3162.74,62,310000,-406.3434753417969,62,45.2591
18.5839,2955.81,2997.29,63,315000,-381.72308349609375,63,45.1165
18.593,3114.82,3345.84,64,320000,-384.7665710449219,64,45.0732
21.8063,3429.75,3353.79,65,325000,-426.5078430175781,65,46.4303
20.759,3405.89,3472.95,66,330000,-392.1501770019531,66,45.1063
21.26,3356.27,3493.86,67,335000,-407.20025634765625,67,45.1444
19.7095,3337.08,3375.71,68,340000,-441.8730773925781,68,46.1478
20.5747,3533.91,3436.11,69,345000,-425.43792724609375,69,45.2817
