Running Update Time,Real Sto Return,Running Reverse KL,Running Env Steps,Running Forward KL,Real Det Return,Reward Loss,Itration
0,-199.49,11.4549,0,158.5301,-252.3,206.42825317382812,0
1,-43.9,11.756,5000,158.4006,4.99,172.00067138671875,1
2,-7.63,11.1974,10000,157.94,28.73,139.88331604003906,2
3,155.13,12.161,15000,158.0835,690.49,108.49064636230469,3
4,231.08,12.1898,20000,158.0369,612.33,52.153289794921875,4
5,335.11,12.1243,25000,157.929,831.07,17.541139602661133,5
6,408.49,13.1043,30000,158.1062,914.6,-19.428611755371094,6
7,568.05,13.4974,35000,158.025,919.44,-51.17192840576172,7
8,788.44,14.778,40000,158.0347,1204.77,-69.61457061767578,8
9,780.99,15.4874,45000,158.0249,1196.82,-124.1253662109375,9
10,907.07,16.0507,50000,158.2197,1346.61,-159.0681915283203,10
11,1020.62,16.4634,55000,158.0549,1441.23,-174.33079528808594,11
12,1071.31,16.6417,60000,158.0618,1451.01,-182.69273376464844,12
13,1069.95,16.8143,65000,158.286,1547.03,-224.42489624023438,13
14,1151.01,16.943,70000,158.0882,1596.36,-241.85133361816406,14
15,1031.33,16.756,75000,158.0365,1502.61,-268.17608642578125,15
16,1207.31,16.6843,80000,158.11,1615.64,-309.8826904296875,16
17,1213.73,16.9057,85000,158.2142,1578.5,-336.9870300292969,17
18,1272.32,17.0716,90000,157.9998,1643.77,-352.40411376953125,18
19,1291.39,17.3588,95000,158.2096,1688.92,-410.49639892578125,19
20,1287.19,16.8001,100000,157.9186,1693.55,-440.06524658203125,20
21,1339.21,16.9624,105000,158.0914,1773.9,-473.1965026855469,21
22,1372.83,17.3425,110000,157.724,1763.46,-497.19537353515625,22
23,1349.6,16.6298,115000,158.1057,1718.23,-528.9942016601562,23
24,1389.73,16.7867,120000,157.7664,1821.18,-542.736572265625,24
25,1402.67,16.9021,125000,158.082,1812.49,-563.5436401367188,25
26,1451.49,17.1983,130000,157.9528,1843.59,-602.61376953125,26
27,1435.2,16.6599,135000,157.8585,1870.93,-638.5354614257812,27
28,1462.48,16.943,140000,157.9855,1845.17,-654.7565307617188,28
29,1473.31,16.6024,145000,157.8268,1869.64,-691.2132568359375,29
30,1478.15,16.879,150000,157.8914,1886.23,-711.2410278320312,30
31,1504.31,16.9827,155000,157.9937,1877.92,-747.5948486328125,31
32,1576.52,17.1541,160000,157.6553,1927.59,-786.6478881835938,32
33,1555.51,17.0567,165000,157.9088,1932.11,-818.2263793945312,33
34,1555.12,16.6925,170000,157.7943,1942.42,-844.4481811523438,34
35,1555.49,16.1869,175000,157.4826,1911.57,-882.1334228515625,35
36,1520.32,16.29,180000,157.7381,1821.79,-920.0111694335938,36
37,1545.55,16.4179,185000,157.706,1873.46,-950.7567138671875,37
38,1571.37,16.1023,190000,157.7449,1956.34,-977.005126953125,38
39,1603.83,16.5481,195000,157.5792,1959.48,-1005.0171508789062,39
40,1585.97,16.3858,200000,157.7847,1954.78,-1030.489013671875,40
41,1624.22,16.9435,205000,157.6199,1989.08,-1051.1622314453125,41
42,1645.67,16.5628,210000,157.5271,2013.58,-1101.3248291015625,42
43,1590.74,16.3011,215000,157.8509,1870.6,-1137.6873779296875,43
44,1623.95,16.2775,220000,157.3603,1941.46,-1164.7239990234375,44
45,1608.4,16.3139,225000,157.6104,1973.69,-1189.7198486328125,45
46,1631.62,16.0443,230000,157.4846,1943.68,-1216.7535400390625,46
47,1576.83,16.2468,235000,157.3981,1927.96,-1253.0595703125,47
48,1673.47,16.4706,240000,157.4035,2033.42,-1282.0889892578125,48
49,1644.5,16.6334,245000,157.7268,2023.17,-1324.34033203125,49
50,1658.98,16.4342,250000,157.6713,2013.21,-1348.6942138671875,50
51,1676.75,16.2883,255000,157.5046,2026.93,-1375.083984375,51
52,1629.32,15.9295,260000,157.6033,1995.66,-1411.56103515625,52
53,1683.89,16.2832,265000,157.3745,2041.15,-1436.537841796875,53
54,1659.56,16.0676,270000,157.3284,2042.3,-1465.2105712890625,54
55,1712.59,16.1264,275000,157.2113,2066.63,-1501.2022705078125,55
56,1671.3,16.1314,280000,157.3325,1969.7,-1537.243408203125,56
57,1703.76,15.9006,285000,157.3415,2025.8,-1556.7047119140625,57
58,1684.21,16.015,290000,157.1914,2033.5,-1607.1119384765625,58
59,1684.07,16.023,295000,157.4998,1987.73,-1641.416748046875,59
60,1678.01,15.8309,300000,157.1708,2018.53,-1660.473876953125,60
61,1655.74,15.6893,305000,157.1975,1974.5,-1710.3824462890625,61
62,1698.97,15.989,310000,157.1073,2025.49,-1726.254150390625,62
