Running Update Time,Running Forward KL,Running Reverse KL,Real Det Return,Itration,Reward Loss,Real Sto Return,Running Env Steps
0,49.0525,12.4429,289.6,0,-107.86780548095703,407.36,0
1,49.0901,19.2114,401.71,1,-119.7798843383789,436.91,5000
2,48.7546,12.899,125.88,2,-130.87997436523438,315.65,10000
3,49.2014,38.7784,408.87,3,-102.23199462890625,434.42,15000
4,49.3628,43.7686,425.42,4,-94.91783142089844,445.81,20000
5,49.2042,28.9093,603.22,5,-69.5150375366211,440.67,25000
6,48.2525,18.2369,706.47,6,-194.28521728515625,518.19,30000
7,47.4996,18.801,2158.71,7,-150.18789672851562,1400.54,35000
8,48.9964,22.3838,333.08,8,11.249929428100586,980.7,40000
9,49.1215,19.4988,2091.34,9,-20.958393096923828,1740.29,45000
10,47.251,22.7156,976.96,10,-265.1373291015625,860.27,50000
11,46.9868,19.129,1126.6,11,-214.60003662109375,991.12,55000
12,47.3683,29.8225,1495.82,12,-212.55152893066406,1344.42,60000
13,47.2244,26.4336,1873.4,13,-261.9759216308594,1159.09,65000
14,47.1545,17.8151,2620.28,14,-201.68650817871094,1771.32,70000
15,46.7885,24.0908,2718.12,15,-173.8806610107422,1758.27,75000
16,47.8334,28.2935,1688.47,16,-131.8542938232422,1233.21,80000
17,47.9044,35.4894,820.38,17,-138.62942504882812,888.66,85000
18,46.5548,27.3937,1164.35,18,-191.7249298095703,1410.0,90000
19,46.9882,21.5576,856.25,19,-325.6888122558594,981.46,95000
20,46.6655,18.0813,985.39,20,-251.95228576660156,1186.86,100000
21,46.8661,21.9858,1834.69,21,-224.0144500732422,1546.17,105000
22,46.4416,18.5912,1959.81,22,-261.24920654296875,1820.53,110000
23,46.0614,21.5297,2811.7,23,-216.322265625,1814.45,115000
24,46.3791,23.4211,2333.78,24,-246.06451416015625,1737.91,120000
25,46.9813,21.4855,1993.89,25,-206.00396728515625,2143.43,125000
26,46.7506,19.9472,3401.79,26,-283.4504089355469,2079.21,130000
27,47.1595,25.9938,3342.31,27,-144.9431610107422,2524.37,135000
28,46.2925,19.5623,3387.17,28,-245.93405151367188,1687.35,140000
29,46.6545,23.8927,3280.42,29,-160.79420471191406,3019.91,145000
30,46.1723,16.292,2861.36,30,-269.01556396484375,1660.27,150000
31,46.8512,19.5691,3351.72,31,-258.834228515625,2515.95,155000
32,46.4964,21.099,3064.41,32,-242.47747802734375,2995.4,160000
33,46.3708,17.3576,3103.31,33,-254.3824005126953,2503.02,165000
34,46.1459,18.6783,3191.58,34,-277.336669921875,2127.3,170000
