Reward Loss,Real Sto Return,Itration,Running Update Time,Running Forward KL,Running Env Steps,Real Det Return,Running Reverse KL
-103.63766479492188,374.31,0,0,49.1994,0,437.98,12.9635
-153.66331481933594,409.94,1,1,49.8106,5000,353.76,12.9111
-77.9226303100586,304.82,2,2,49.6047,10000,274.68,15.2271
-114.60188293457031,433.87,3,3,49.529,15000,462.23,19.4353
-133.2931671142578,410.74,4,4,49.9004,20000,438.36,14.2096
-56.961177825927734,443.86,5,5,49.7639,25000,481.57,15.1859
-98.16344451904297,446.88,6,6,49.3726,30000,381.08,16.1866
9.422004699707031,465.85,7,7,49.711,35000,512.41,23.5333
-5.998864650726318,439.76,8,8,50.1043,40000,426.79,37.4389
-50.05147933959961,455.23,9,9,48.8554,45000,485.31,41.2234
-54.90769577026367,518.96,10,10,48.8589,50000,523.27,40.1206
-88.97103118896484,451.89,11,11,49.5381,55000,423.93,34.7637
-145.013916015625,493.39,12,12,48.7119,60000,492.8,22.4031
-119.9752426147461,474.38,13,13,49.2557,65000,504.85,33.3164
-186.1954345703125,511.73,14,14,48.3957,70000,476.95,21.0977
-227.25961303710938,504.12,15,15,48.1101,75000,484.52,15.8619
-255.8585662841797,528.21,16,16,48.0828,80000,526.49,15.5803
-255.57005310058594,541.87,17,17,47.6794,85000,542.91,15.4128
-279.1981201171875,548.1,18,18,47.664,90000,542.93,12.7429
-214.9534454345703,609.98,19,19,47.3824,95000,588.24,18.3386
-229.15292358398438,581.55,20,20,47.7111,100000,526.04,12.8454
-231.4823760986328,582.92,21,21,47.8951,105000,537.14,16.5226
-294.5583190917969,590.25,22,22,47.1388,110000,570.01,13.8177
-292.3023376464844,590.28,23,23,48.152,115000,537.96,13.7051
-275.57177734375,636.16,24,24,47.7342,120000,663.43,11.7947
