Running Reverse KL,Running Forward KL,Real Det Return,Real Sto Return,Itration
11.5055,158.4069,-66.25,-208.73,0
11.6044,158.2249,373.54,-35.89,1
11.762,158.1341,45.84,11.45,2
12.0809,158.1674,837.18,126.74,3
13.4547,158.0154,884.67,438.8,4
13.2013,157.9051,789.49,454.6,5
13.6495,157.9776,911.64,537.04,6
14.1639,157.8375,1090.78,699.78,7
14.7108,157.8452,1190.54,848.3,8
15.1546,157.6805,1301.23,887.74,9
15.1609,157.7286,1394.77,964.09,10
16.3883,157.8099,1512.33,1086.53,11
16.2719,157.7807,1595.14,1181.28,12
16.0912,157.9125,1613.46,1189.3,13
16.2677,157.7472,1582.31,1210.94,14
16.6321,157.8865,1616.08,1245.81,15
16.1633,157.6765,1758.19,1360.3,16
16.2518,157.5674,1775.92,1370.35,17
16.044,157.5188,1791.61,1398.92,18
15.863,157.4367,1817.62,1426.99,19
15.8176,157.3533,1847.82,1478.13,20
15.8833,157.3409,1870.88,1506.29,21
15.7049,157.2337,1892.57,1507.23,22
15.8292,157.4607,1911.19,1539.94,23
15.9879,157.4172,1859.61,1571.78,24
16.4572,157.4449,1993.19,1646.41,25
15.9507,157.3736,1967.49,1608.16,26
15.6423,157.2174,1922.27,1603.77,27
16.3007,157.1778,1969.59,1655.48,28
16.1157,157.3721,1960.42,1627.82,29
15.9112,157.2808,2025.33,1640.98,30
15.707,157.2791,1933.65,1644.14,31
15.7777,157.2503,1960.02,1656.61,32
15.8762,157.1648,2018.37,1661.35,33
15.5605,157.0426,1964.23,1634.42,34
15.5615,157.3436,2023.72,1664.04,35
15.4785,157.1411,1919.74,1637.7,36
15.3978,156.9014,1960.56,1680.58,37
15.8908,157.1065,2049.1,1710.87,38
16.0037,157.2207,2082.3,1725.04,39
