Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Itration,Real Sto Return,Running Update Time,Running Env Steps
211.14,39.3746,-149.2176055908203,18.8554,0,209.02,0,0
274.6,38.1011,-129.6106719970703,18.9738,1,267.26,1,5000
338.97,37.3343,-100.67459106445312,16.4844,2,339.05,2,10000
357.47,36.076,-84.54732513427734,16.3469,3,359.29,3,15000
328.04,36.4225,-96.62174987792969,40.5011,4,328.09,4,20000
367.05,36.7675,-127.40308380126953,19.7685,5,366.1,5,25000
430.71,34.7302,-121.41901397705078,15.7915,6,422.58,6,30000
407.26,30.6691,-90.20665740966797,13.9203,7,409.91,7,35000
818.35,30.3781,-148.35011291503906,23.0512,8,750.76,8,40000
852.86,30.9854,-142.62103271484375,28.1749,9,849.78,9,45000
1012.11,32.2744,-170.08255004882812,20.1301,10,497.69,10,50000
1014.43,30.9077,-163.56271362304688,17.641,11,776.64,11,55000
337.11,33.0059,-196.0127410888672,28.5945,12,337.06,12,60000
789.98,30.368,-179.82069396972656,21.7724,13,762.02,13,65000
2214.38,29.0786,-125.45223236083984,18.3157,14,729.08,14,70000
1214.28,29.9574,-186.16773986816406,22.2405,15,1007.92,15,75000
1920.04,29.1692,-158.9600067138672,18.987,16,1461.23,16,80000
686.91,31.4678,-214.20362854003906,22.7135,17,661.9,17,85000
1189.8,28.3935,-184.53762817382812,20.5447,18,1252.36,18,90000
1967.4,29.1186,-177.6464385986328,18.142,19,1291.83,19,95000
967.95,25.4842,-95.73847198486328,12.2155,20,1151.34,20,100000
1122.89,29.4055,-184.49073791503906,17.0281,21,1309.64,21,105000
1847.57,25.0644,-79.87199401855469,12.1989,22,2320.01,22,110000
1054.5,41.4986,-293.5306701660156,24.986,23,1053.65,23,115000
1051.01,43.2666,-347.3228454589844,28.6343,24,1167.96,24,120000
