Real Det Return,Running Reverse KL,Real Sto Return,Running Forward KL,Itration
-25.09,11.6198,-186.47,158.408,0
144.72,11.9777,-45.76,158.4507,1
696.7,12.0264,97.98,158.1991,2
715.95,12.5924,268.33,158.3846,3
1205.38,12.5566,565.72,157.8082,4
1331.32,12.7714,613.52,157.9033,5
1622.4,13.2037,861.17,157.8479,6
1765.3,13.3627,1000.93,157.6436,7
2529.54,13.9305,1275.83,157.659,8
2802.0,15.4512,1599.46,157.6044,9
3363.43,15.4496,2667.04,156.951,10
3685.22,16.6684,3031.19,157.225,11
3901.69,17.1799,3155.31,157.191,12
3869.76,16.6915,3215.25,157.128,13
3844.83,17.8656,3422.44,157.3251,14
4205.67,17.4816,3692.52,157.1032,15
4413.53,17.9052,3824.8,157.2938,16
4598.12,16.4359,3929.97,156.8105,17
4475.02,17.1512,3851.42,156.8169,18
4715.92,17.1167,4116.26,156.6722,19
4778.18,16.4999,4147.59,156.5634,20
5040.49,16.7015,4292.47,156.2201,21
5050.33,18.0105,4542.13,156.3914,22
5245.28,17.3211,4721.26,156.0435,23
5260.24,17.4842,4590.0,155.78,24
5430.99,17.0466,5204.96,155.437,25
5781.31,15.7081,5238.12,155.032,26
5620.46,16.6912,5121.88,154.8119,27
5656.56,15.4534,5647.61,154.4092,28
6435.6,15.8436,5832.21,154.1965,29
6352.89,16.5051,5900.21,154.163,30
6641.38,15.0642,5873.74,153.4263,31
6680.72,16.2621,6034.37,153.8755,32
6729.4,14.3255,6103.89,153.1692,33
6187.28,14.967,5992.17,153.163,34
6255.93,15.0872,6266.44,153.3301,35
7243.27,15.9534,6647.11,153.0044,36
7275.64,16.3189,6789.75,153.4723,37
7183.4,15.0168,6875.07,152.4082,38
7491.21,16.4336,7089.18,153.4757,39
