Running Forward KL,Itration,Running Reverse KL,Real Sto Return,Real Det Return
158.6569,0,11.9501,-230.98,-26.39
158.6017,1,11.9717,-47.13,-96.07
158.1973,2,11.7169,47.74,329.42
158.1955,3,12.4286,228.46,789.83
157.6709,4,12.1432,449.01,1204.65
157.5547,5,12.586,600.45,1246.77
157.3888,6,12.6926,678.38,1510.08
157.4158,7,12.8045,806.81,1428.59
157.2643,8,13.3757,1240.93,1335.76
157.1912,9,13.3774,1664.78,2387.84
156.8784,10,14.1098,2172.45,2435.7
157.1794,11,15.8317,2372.63,3048.0
157.1439,12,16.2655,2972.41,3538.83
156.8616,13,16.3843,3127.28,3877.06
156.6193,14,16.1406,3318.71,3904.12
156.5841,15,16.1505,3444.18,3970.44
156.6306,16,15.8377,3396.9,4046.48
156.4929,17,16.4082,3694.48,4200.26
156.5536,18,16.4961,3780.56,4294.95
156.6613,19,16.2736,3956.43,4553.37
156.4661,20,16.4515,4141.41,4604.23
156.2005,21,16.5138,4300.03,4850.61
156.2014,22,16.6827,4456.48,4925.79
156.1743,23,17.3706,4609.44,5088.74
155.6924,24,16.2441,4357.61,5144.36
155.9546,25,16.5542,4734.26,4973.03
155.8499,26,17.0547,4805.43,5317.03
155.4627,27,16.3353,4892.23,5386.45
155.0395,28,15.4757,5197.31,5758.81
155.5203,29,16.485,5154.74,5687.56
154.8893,30,15.7672,5416.42,5920.94
155.1184,31,15.8522,5536.3,5931.36
155.2184,32,15.6319,5584.1,6105.69
154.9089,33,15.5033,5222.47,6215.74
