Running Reverse KL,Running Env Steps,Reward Loss,Real Det Return,Real Sto Return,Running Forward KL,Itration,Running Update Time
11.9673,0,52.33279037475586,-21.06,-175.48,158.6915,0,0
12.1204,5000,5.515635013580322,26.13,-49.34,158.5377,1,1
12.2937,10000,-39.00599670410156,629.91,67.72,158.3523,2,2
13.3259,15000,-94.44285583496094,830.51,312.08,158.0785,3,3
14.0189,20000,-125.11737823486328,858.57,461.06,158.4535,4,4
13.8578,25000,-154.93748474121094,979.91,551.95,158.0888,5,5
14.4013,30000,-159.88314819335938,1111.0,675.84,158.0891,6,6
14.5144,35000,-180.4716339111328,957.73,714.96,157.8825,7,7
14.649,40000,-207.15846252441406,1215.6,852.79,157.756,8,8
15.7384,45000,-274.146484375,1434.45,946.13,158.0096,9,9
15.9781,50000,-311.0751037597656,1426.75,1075.11,157.6376,10,10
15.9318,55000,-333.19525146484375,1535.52,1121.93,157.8306,11,11
16.4843,60000,-380.68048095703125,1580.75,1148.21,157.8845,12,12
16.175,65000,-386.9924621582031,1679.92,1214.18,157.8835,13,13
16.0458,70000,-396.4684753417969,1726.97,1232.23,157.7077,14,14
17.0472,75000,-460.7146911621094,1612.27,1243.26,157.9296,15,15
16.5531,80000,-481.914794921875,1811.05,1329.95,157.8385,16,16
16.1643,85000,-498.03424072265625,1817.38,1320.12,157.6534,17,17
16.693,90000,-539.5610961914062,1783.23,1338.78,157.6236,18,18
16.1818,95000,-546.0154418945312,1913.34,1404.6,157.7656,19,19
16.3311,100000,-587.0455322265625,1929.3,1466.65,157.7942,20,20
16.1154,105000,-620.90673828125,1945.89,1428.18,157.5708,21,21
15.977,110000,-616.4776000976562,1878.47,1478.28,157.7334,22,22
16.1607,115000,-689.8184204101562,1947.32,1500.55,157.319,23,23
15.757,120000,-670.83056640625,1943.94,1482.36,157.3073,24,24
16.0311,125000,-712.6532592773438,1940.93,1546.94,157.465,25,25
16.037,130000,-769.1961669921875,1958.09,1564.02,157.4201,26,26
16.0414,135000,-778.768798828125,1967.2,1554.28,157.3307,27,27
15.5543,140000,-821.6724243164062,1955.22,1518.95,157.1911,28,28
15.8242,145000,-833.5632934570312,2013.68,1560.18,157.2822,29,29
15.5895,150000,-867.0556640625,1964.24,1631.64,157.1072,30,30
15.5818,155000,-891.9502563476562,1991.18,1600.05,157.0806,31,31
15.8288,160000,-910.9979248046875,2008.15,1654.37,157.0605,32,32
15.9553,165000,-954.4306030273438,2085.13,1648.68,157.0553,33,33
15.7968,170000,-960.1806640625,1942.8,1658.23,156.9492,34,34
16.1324,175000,-1012.5971069335938,1992.95,1647.85,157.1335,35,35
15.7685,180000,-1013.8094482421875,2021.09,1698.59,156.9839,36,36
15.8508,185000,-1047.2611083984375,2053.45,1673.31,156.8595,37,37
15.8477,190000,-1093.9371337890625,2001.8,1667.86,156.892,38,38
15.6391,195000,-1114.582763671875,1984.94,1685.96,157.0619,39,39
15.9074,200000,-1140.6767578125,1955.22,1688.81,156.8753,40,40
15.7155,205000,-1173.8671875,1983.7,1643.07,156.9804,41,41
15.3031,210000,-1186.076904296875,1951.71,1692.48,156.9475,42,42
15.9678,215000,-1241.4588623046875,1964.53,1703.24,157.1649,43,43
15.5966,220000,-1254.6878662109375,2051.74,1687.08,156.9012,44,44
15.9521,225000,-1287.87451171875,2052.18,1754.51,156.9302,45,45
15.8606,230000,-1341.023193359375,2061.41,1696.28,156.9249,46,46
16.1415,235000,-1355.1492919921875,2076.02,1719.49,157.0598,47,47
15.7876,240000,-1390.5775146484375,2079.84,1750.83,157.0109,48,48
16.0822,245000,-1423.603271484375,2118.02,1775.16,156.946,49,49
15.5598,250000,-1442.544189453125,2065.87,1706.72,157.0269,50,50
15.9874,255000,-1463.02978515625,2081.41,1721.37,157.1032,51,51
15.8143,260000,-1505.278564453125,2106.6,1760.41,156.9273,52,52
15.8445,265000,-1532.7584228515625,2018.3,1675.82,157.1689,53,53
15.5963,270000,-1546.78759765625,2018.54,1724.18,157.0448,54,54
15.607,275000,-1570.53515625,2011.42,1742.06,157.1247,55,55
16.0297,280000,-1653.442138671875,2155.07,1765.03,156.8968,56,56
15.5208,285000,-1646.737548828125,1941.18,1695.89,157.0618,57,57
15.6508,290000,-1696.958740234375,2147.2,1749.96,156.8534,58,58
15.8333,295000,-1725.478271484375,2161.04,1778.02,156.9489,59,59
16.0219,300000,-1735.1903076171875,2004.62,1747.9,157.1924,60,60
15.6291,305000,-1796.0692138671875,2119.39,1727.2,157.0822,61,61
15.6361,310000,-1803.2501220703125,2076.73,1775.43,156.8824,62,62
