Running Reverse KL,Running Update Time,Reward Loss,Itration,Running Env Steps,Real Det Return,Running Forward KL,Real Sto Return
13.906,0,205.27281188964844,0,0,309.84,36.4375,300.57
15.7745,1,178.5236358642578,1,5000,261.67,36.3032,272.82
17.2939,2,133.9367218017578,2,10000,345.53,36.3271,341.33
36.2881,3,218.90821838378906,3,15000,338.26,35.0374,352.94
33.3827,4,149.2335968017578,4,20000,355.89,34.6113,397.74
44.6835,5,228.52772521972656,5,25000,356.7,34.8274,401.81
29.4391,6,189.59385681152344,6,30000,364.03,34.2908,374.85
24.9835,7,155.3123779296875,7,35000,391.18,32.1604,432.31
25.4034,8,149.18988037109375,8,40000,567.76,32.548,564.88
21.168,9,152.98548889160156,9,45000,580.17,31.8119,586.09
15.3526,10,52.96498489379883,10,50000,623.43,31.0056,622.69
13.3404,11,52.32575988769531,11,55000,356.64,29.789,340.58
14.0716,12,45.976375579833984,12,60000,719.08,29.8075,926.33
15.4761,13,32.728206634521484,13,65000,828.12,31.6042,811.49
14.5173,14,16.152999877929688,14,70000,988.29,30.6132,861.13
13.1469,15,-16.223922729492188,15,75000,2874.35,30.0188,1590.17
15.3008,16,6.528794765472412,16,80000,2754.76,29.3259,1371.09
12.1242,17,-14.092609405517578,17,85000,1250.98,27.9396,1939.16
14.8071,18,11.969286918640137,18,90000,1512.5,29.2839,1782.18
14.7695,19,-5.737621307373047,19,95000,1633.48,30.1835,986.04
16.9627,20,20.81114959716797,20,100000,2027.1,31.1493,1329.01
14.4933,21,26.02614402770996,21,105000,1265.05,30.3846,1458.33
13.5798,22,16.73172378540039,22,110000,1830.68,29.9819,1352.18
15.8107,23,22.002771377563477,23,115000,1928.85,29.7424,1487.13
13.9147,24,-32.23627853393555,24,120000,3149.74,28.1326,3009.01
13.9105,25,-30.880260467529297,25,125000,3099.26,28.5264,2938.68
14.2331,26,-11.476129531860352,26,130000,2096.68,27.9889,1855.68
14.9758,27,-36.656761169433594,27,135000,3153.92,29.0428,2735.82
13.9145,28,-41.2950325012207,28,140000,3187.33,28.0698,3127.32
14.303,29,-38.37428283691406,29,145000,3206.53,27.9648,2894.14
14.9171,30,-43.7712287902832,30,150000,3246.2,27.8615,3189.45
13.4796,31,-38.23255920410156,31,155000,3187.73,27.2416,2514.2
15.8969,32,-28.07497787475586,32,160000,3016.06,28.6339,1848.91
13.394,33,-38.97025680541992,33,165000,3219.5,28.0035,2338.29
13.1347,34,-46.85702896118164,34,170000,3255.95,26.9937,2912.39
13.1693,35,-50.42058563232422,35,175000,3218.01,27.4624,2756.73
13.1266,36,-53.0281867980957,36,180000,3221.76,28.3475,2758.83
12.9598,37,-51.150081634521484,37,185000,3204.61,26.4349,3046.6
12.6083,38,-55.5169792175293,38,190000,3239.16,27.1727,2700.24
12.0813,39,-53.25873947143555,39,195000,3254.6,26.5384,2911.91
12.5086,40,-64.63207244873047,40,200000,3296.35,27.6824,2367.76
12.9003,41,-59.07286071777344,41,205000,3268.17,26.8693,3138.67
11.8311,42,-47.759727478027344,42,210000,3255.96,25.0214,3171.53
12.9352,43,-55.696109771728516,43,215000,3270.67,26.3956,3223.13
14.0554,44,-64.23339080810547,44,220000,3278.22,27.4559,2579.58
12.7482,45,-61.0626220703125,45,225000,3261.07,26.6522,2740.23
13.473,46,-62.975502014160156,46,230000,3288.87,26.3799,3058.92
13.5708,47,-71.15196228027344,47,235000,3265.85,27.6801,2754.13
12.0506,48,-69.41331481933594,48,240000,3278.26,25.8511,2899.37
13.5117,49,-71.4738998413086,49,245000,3320.47,26.961,2466.47
14.2291,50,-67.69064331054688,50,250000,3296.15,28.36,2318.05
11.8755,51,-72.42131805419922,51,255000,3279.28,26.9879,2530.1
11.8477,52,-72.37333679199219,52,260000,3319.67,25.8173,2405.06
13.285,53,-66.1330795288086,53,265000,3265.12,26.6587,3219.74
11.9448,54,-70.61474609375,54,270000,3263.27,26.3904,2320.29
14.4506,55,-79.43741607666016,55,275000,3069.53,27.5611,1579.9
11.3436,56,-67.86328125,56,280000,3265.23,25.378,2525.52
12.6666,57,-75.540283203125,57,285000,3269.51,26.1906,3162.98
12.2223,58,-77.9975814819336,58,290000,3296.31,25.5869,3306.83
13.5881,59,-65.94285583496094,59,295000,3262.14,26.8221,3235.59
12.44,60,-83.52881622314453,60,300000,3299.86,26.5424,3178.9
11.8552,61,-80.7718505859375,61,305000,3280.3,26.0516,3027.3
